Acronym,Year,Conference,Website,Publisher,Series,Booktitle,ISSN,ISBN,DOI
ABZ,2024,ABZ 2024 10th International Conference on Rigorous State Based Methods,https://abz-conf.org/site/2024/,springer,LNCS,Rigorous State-Based Methods,0302-9743,978-3-031-63790-2,https://doi.org/10.1007/978-3-031-63790-2
ABZ,2023,ABZ 2023 9th International Conference on Rigorous State-Based Methods,https://abz2023.loria.fr/,springer,LNCS,Rigorous State-Based Methods,0302-9743,978-3-031-33163-3,https://doi.org/10.1007/978-3-031-33163-3
