Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
10,"RLC Silva Filho, PJL Adeodato","Data mining solution for assessing the secondary school students of brazilian federal institutes",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923965/","https://scholar.google.com/scholar?cites=8583213525172975453&as_sdt=2005&sciodt=2007&hl=en",30,"2025-09-06 15:53:20","","","","",,,,,10,1.67,5,2,6,"There have been constant debates on several aspects of the Brazilian secondary education including student's selection process and engagement, and quality of learning among other …","https://www.researchgate.net/profile/Rogerio-Filho-2/publication/337793724_Data_Mining_Solution_for_Assessing_the_Secondary_School_Students_of_Brazilian_Federal_Institutes/links/6290eb87c660ab61f849dd3e/Data-Mining-Solution-for-Assessing-the-Secondary-School-Students-of-Brazilian-Federal-Institutes.pdf","https://scholar.google.com/scholar?q=related:XXdDrzmzHXcJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
10,"MM Espinoza, AT Possebom…","Argumentation-based agents that explain their decisions",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923631/","https://scholar.google.com/scholar?cites=13119582091033323865&as_sdt=2005&sciodt=2007&hl=en",32,"2025-09-06 15:53:20","","","","",,,,,10,1.67,3,3,6,"Explainable Artificial Intelligence (XAI) systems, including intelligent agents, must be able to explain their internal decisions, behaviours and reasoning that produce their choices to the …","https://arxiv.org/pdf/2009.05897","https://scholar.google.com/scholar?q=related:WSmeuWYeErYJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
10,"JC Chamby-Diaz, A Bazzan","Identifying traffic event types from twitter by multi-label classification",2019,"2019 8th Brazilian Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923740/","https://scholar.google.com/scholar?cites=3963810384194289287&as_sdt=2005&sciodt=2007&hl=en",35,"2025-09-06 15:53:20","","","","",,,,,10,1.67,5,2,6,"Social networks have been recently employed as a source of information for traffic event detection, with particular reference to traffic incidents. However, extracting meaningful and …","","https://scholar.google.com/scholar?q=related:h77nEotIAjcJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
9,"RS de Andrades, M Grellert…","Hyperparameter tuning and its effects on cardiac arrhythmia prediction",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923721/","https://scholar.google.com/scholar?cites=3373390004575087691&as_sdt=2005&sciodt=2007&hl=en",36,"2025-09-06 15:53:20","","","","",,,,,9,1.50,3,3,6,"Cardiac arrhythmia is an important indicator for a range of conditions that can cause fatal and irreversible damage on patients. Recognizing cardiac arrhythmia through ECG signals …","","https://scholar.google.com/scholar?q=related:SyyND1aw0C4J:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
8,"ACQ Siravenha, MNF Reis, I Cordeiro…","Residual mlp network for mental fatigue classification in mining workers from brain data",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923986/","https://scholar.google.com/scholar?cites=307837443626310841&as_sdt=2005&sciodt=2007&hl=en",37,"2025-09-06 15:53:20","","","","",,,,,8,1.33,2,4,6,"At the mining industry, human safety and productivity are both desirable in the logistics pipeline. Since the operation of heavy machines requires continued vigilance and mental activity, …","","https://scholar.google.com/scholar?q=related:uRzpI4aoRQQJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
8,"DRC Bandeira, AM de Paula Canuto…","Investigating the impact of combining handwritten signature and keyboard keystroke dynamics for gender prediction",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923762/","https://scholar.google.com/scholar?cites=13624772864502208793&as_sdt=2005&sciodt=2007&hl=en",38,"2025-09-06 15:53:20","","","","",,,,,8,1.33,3,3,6,"The use of soft-biometric data as an auxiliary tool on user identification is already well known. Gender, hand-orientation and emotional state are some examples which can be called soft…","https://shura.shu.ac.uk/25885/8/BRACIS2019-danilo.pdf","https://scholar.google.com/scholar?q=related:GRkJrrvqFL0J:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
8,"OQ de Carvalho, R Tinós, D Whitley…","A new method for identification of recombining components in the generalized partition crossover",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923651/","https://scholar.google.com/scholar?cites=18446600086285675798&as_sdt=2005&sciodt=2007&hl=en",40,"2025-09-06 15:53:20","","","","",,,,,8,1.33,2,4,6,"Partition crossover operators use information about the interaction between decision variables to recombine solutions. The Generalized Partition Crossover 2 (GPX2) was recently …","","https://scholar.google.com/scholar?q=related:Fm2_UAt9__8J:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
7,"G Silva, PS Neto, RS Moura…","An approach to support the selection of relevant studies in systematic review and systematic mappings",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923843/","https://scholar.google.com/scholar?cites=13147810153780961041&as_sdt=2005&sciodt=2007&hl=en",7,"2025-09-06 15:53:20","","","","",,,,,7,1.17,2,4,6,"A Systematic Mapping or Systematic Review is a good alternative for surveying the state of the art of a specific area. One of its most important features is its ability to get an overview of a …","","https://scholar.google.com/scholar?q=related:EV9jvqxndrYJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
7,"V Barella, L Garcia…","The influence of sampling on imbalanced data classification",2019,"2019 8th Brazilian …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923714/","https://scholar.google.com/scholar?cites=2716506232107721772&as_sdt=2005&sciodt=2007&hl=en",39,"2025-09-06 15:53:20","","","","",,,,,7,1.17,2,3,6,"Classification tasks using imbalanced data are not challenging on their own. When the classes are linearly separable, a regular classification algorithm usually induces predictive …","","https://scholar.google.com/scholar?q=related:LGTqggb4siUJ:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
7,"CLRS Ueno, DF Silva","On combining diverse models for lyrics-based music genre classification",2019,"2019 8th Brazilian Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/8923949/","https://scholar.google.com/scholar?cites=18340888220561834601&as_sdt=2005&sciodt=2007&hl=en",41,"2025-09-06 15:53:20","","","","",,,,,7,1.17,4,2,6,"Automatic music organization and retrieval is a highly required task nowadays. Labeling songs with summarized but descriptive information have implications in a wide range of tasks in …","","https://scholar.google.com/scholar?q=related:aQK8k6nsh_4J:scholar.google.com/&scioq=%222643+6264%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
