Sigla,Nome do evento,Link da SOL,número de edições,Ano da primeira edição ou idade do evento,CE associada,ultima edição,H5,H5 Link
STIL,Symposium in Information and Human Language Technology,https://sol.sbc.org.br/index.php/stil,14,,,2023,5,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Symposium+in+Information+and+Human+Language+Technology&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
SVR,Symposium on Virtual and Augmented Reality,https://sol.sbc.org.br/index.php/svr,25,,,2023,14,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=Y15SCgN8Um8J.2024
VEM,"Workshop de Visualização, Evolução e Manutenção de Software (VEM)",https://sol.sbc.org.br/index.php/vem/issue/archive,11,,,2023,4,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Visualiza%C3%A7%C3%A3o%2C+Evolu%C3%A7%C3%A3o+e+Manuten%C3%A7%C3%A3o+de+Software&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
W6G,Workshop de Redes 6G (W6G),https://sol.sbc.org.br/index.php/w6g/issue/archive,4,,,2024,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Redes+6G&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador na Web Social (WAIHCWS),https://sol.sbc.org.br/index.php/waihcws/issue/archive,14,2009,CE-IHC,2023,4,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+sobre+Aspectos+da+Intera%C3%A7%C3%A3o&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WAPLA,Workshop de Aplicações Práticas de Learning Analytics em Instituições de Ensino no Brasil (WAPLA),https://sol.sbc.org.br/index.php/wapla/issue/archive,2,,,2023,---,---
WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",https://sol.sbc.org.br/index.php/washes,9,,CSBC,2024,5,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+sobre+Aspectos+Sociais%2C+Humanos+e+Econ%C3%B4micos+de+Software&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WBCI,Workshop Brasileiro de Cidades Inteligentes (WBCI),https://sol.sbc.org.br/index.php/wbci/issue/archive,3,,CSBC,2022,---,---
WBL,Workshop Brasileiro de Lógica,https://sol.sbc.org.br/index.php/wbl,5,,CSBC,2024,1,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+Brasileiro+de+L%C3%B3gica&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WBlockchain,"Workshop em Blockchain: Teoria, Tecnologias e Aplicações (WBlockchain)",https://sol.sbc.org.br/index.php/wblockchain/issue/archive,6,,CE-RESD,2023,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+em+Blockchain%3A+Teoria%2C+Tecnologias+e+Aplica%C3%A7%C3%B5es&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,https://sol.sbc.org.br/index.php/wcama,15,,CSBC,2024,4,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Computa%C3%A7%C3%A3o+Aplicada+%C3%A0+Gest%C3%A3o+do+Meio+Ambiente+e+Recursos+Naturais&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WCGA,Workshop em Clouds e Aplicações (WCGA),https://sol.sbc.org.br/index.php/wcga/issue/archive,19,,CE-RESD,2021,2,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+em+Clouds+e+Aplica%C3%A7%C3%B5es&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WCGE,Workshop de Computação Aplicada em Governo Eletrônico,https://sol.sbc.org.br/index.php/wcge,12,,CSBC,2024,7,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Computa%C3%A7%C3%A3o+Aplicada+em+Governo+Eletr%C3%B4nico&as_ylo=&as_yhi=&hl=pt-BR&as_sdt=0%2C5
WEADEH,Workshop de Educação a Distância e Ensino Híbrido (WEADEH),https://sol.sbc.org.br/index.php/weadeh,1,,,2023,---,---
WEBMEDIA,Simpósio Brasileiro de Sistemas Multimídia e Web,https://sol.sbc.org.br/index.php/webmedia,29,,CE-WEBMEDIA,2023,13,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=EL-07Zfxn_kJ.2024
WEI,Workshop sobre Educação em Computação,https://sol.sbc.org.br/index.php/wei,32,,CSBC,2024,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=-eLSF6KffKgJ.2024
WEIHC,Workshop sobre Educação em IHC (WEIHC),https://sol.sbc.org.br/index.php/weihc/issue/archive,13,2010,CE-IHC,2023,---,---
WETIE,Workshop em Estratégias Transformadoras e Inovação na Educação (WETIE),https://sol.sbc.org.br/index.php/wetie,1,,,2023,---,---
WFC,Workshop de Forense Computacional,https://sol.sbc.org.br/index.php/wfc/issue/archive,8,,,2019,---,---
WFIBRE,Workshop do Testbed FIBRE (WFIBRE),https://sol.sbc.org.br/index.php/wfibre/issue/archive,6,,CSBC,2021,---,---
WGID,Workshop de Gestão de Identidades Digitais,https://sol.sbc.org.br/index.php/wgid/issue/archive,9,,,2019,---,---
WGRS,Workshop de Gerência e Operação de Redes e Serviços (WGRS),https://sol.sbc.org.br/index.php/wgrs/issue/archive,28,,CE-RESD,2023,3,https://scholar.google.com/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+de+Ger%C3%AAncia+e+Opera%C3%A7%C3%A3o+de+Redes+e+Servi%C3%A7os&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WICS,Workshop sobre as Implicações da Computação na Sociedade,https://sol.sbc.org.br/index.php/wics,5,,CSBC,2024,6,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+sobre+as+Implica%C3%A7%C3%B5es+da+Computa%C3%A7%C3%A3o+na+Sociedade&as_ylo=&as_yhi=&hl=pt-BR&as_sdt=0%2C5
WIDE,Workshop Investigações em Interação Humano-Dados (WIDE),https://sol.sbc.org.br/index.php/wide/issue/archive,2,2022,CE-IHC,2023,,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+Investiga%C3%A7%C3%B5es+em+Intera%C3%A7%C3%A3o+Humano-Dados&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WIE,Workshop de Informática na Escola,https://sol.sbc.org.br/index.php/wie,28,,,2022,10,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=oRft04FzXroJ.2024
WIPlay,Workshop sobre Interação e Pesquisa de Usuários no Desenvolvimento de Jogos (WIPlay),https://sol.sbc.org.br/index.php/wiplay/issue/archive,2,2019,CE-IHC,2023,3,https://scholar.google.com.br/scholar?as_q=&as_epq=&as_oq=&as_eq=&as_occt=any&as_sauthors=&as_publication=Workshop+sobre+Intera%C3%A7%C3%A3o+e+Pesquisa+de+Usu%C3%A1rios+no+Desenvolvimento+de+Jogos&as_ylo=2019&as_yhi=2023&hl=pt-BR&as_sdt=0%2C5
WIT,Women in Information Technology,https://sol.sbc.org.br/index.php/wit,18,,CSBC,2024,11,https://scholar.google.com.br/citations?hl=pt-BR&view_op=list_hcore&venue=UW0cTaGLmlEJ.2024
