Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"AR Ordakowski, MA Carrero, MA Musicante…","Desenvolvimento de Modelos de Armazenamento em Sensores com Reutilizaçao de Código",2019,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/8831","https://scholar.google.com/scholar?cites=209316081116466349&as_sdt=2005&sciodt=2007&hl=en",166,"2025-09-06 16:03:25","","","","",,,,,1,0.17,0,4,6,"Sensores são componentes essenciais da Internet das Coisas (IoT). Em consonância com a tendência de armazenar dados próximosas fontes de dados, preconizada pela …","https://sol.sbc.org.br/index.php/sbbd/article/download/8831/8732/","https://scholar.google.com/scholar?q=related:rUy55N2j5wIJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
1,"J Yepez, B Tavares, F Peres, K Becker","Na batida do funk: modelagem de tópicos combinando LLM, Engenharia de Prompt e BERTopic",2024,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/30725","https://scholar.google.com/scholar?cites=1555139179378457594&as_sdt=2005&sciodt=2007&hl=en",167,"2025-09-06 16:03:25","","","","",,,,,1,1.00,0,4,1,"Letras de músicas impõem desafios à modelagem de tópicos, já que o discurso nem sempre é explícito, devendo ser compreendido dentro de seu contexto, sua linguagem figurativa e …","https://sol.sbc.org.br/index.php/sbbd/article/download/30725/30528","https://scholar.google.com/scholar?q=related:-jslG9j2lBUJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
1,"LSVU Junior, LM del Val Cura","Uma Proposta de Mapeamento do Modelo Conceitual Entidade-Relacionamento Estendido para o Modelo de Dados NoSQL de Grafos",2020,"… Brasileiro de Banco de Dados (SBBD …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/13648","https://scholar.google.com/scholar?cites=15227008573925629784&as_sdt=2005&sciodt=2007&hl=en",168,"2025-09-06 16:03:25","","","","",,,,,1,0.20,1,2,5,"Este artigo propõe uma série de algoritmos em alto nível para o mapeamento dos elementos do modelo conceitual Entidade-Relacionamento Estendido (EER) para um modelo lógico …","https://sol.sbc.org.br/index.php/sbbd/article/download/13648/13496","https://scholar.google.com/scholar?q=related:WB-qMJ8zUdMJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
1,"R Zorrilla, E Ogasawara, P Valduriez…","A data-driven model selection approach to spatio-temporal prediction",2022,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/21791","https://scholar.google.com/scholar?cites=16407727309427520839&as_sdt=2005&sciodt=2007&hl=en",171,"2025-09-06 16:03:25","","","","",,,,,1,0.33,0,4,3,"Spatio-temporal Predictive Queries encompass a spatio-temporal constraint, defining a region, a target variable, and an evaluation metric. The output of such queries presents the future …","https://sol.sbc.org.br/index.php/sbbd/article/download/21791/21615/","https://scholar.google.com/scholar?q=related:RzXnWQ71s-MJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
1,"VVB Leal, JAF de Macedo, LP Gaspar…","Pytology: Rumo ao Cálculo de Relevância sobre dados RDF",2018,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/22235","https://scholar.google.com/scholar?cites=10383891245905137489&as_sdt=2005&sciodt=2007&hl=en",174,"2025-09-06 16:03:25","","","","",,,,,1,0.14,0,4,7,"Com a ampla disponibilidade de bases RDF na Web, torna-se cada vez mais complexa a análise manual para entendimento dos domínios das ontologias e seus níveis de ligações. …","https://sol.sbc.org.br/index.php/sbbd/article/download/22235/22059","https://scholar.google.com/scholar?q=related:Uc92ahL-GpAJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
1,"S Herrera, LM da Silva, PR Reis, A Silva…","Managing sparse spatio-temporal data in savime: an evaluation of the ph-tree index",2021,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/17895","https://scholar.google.com/scholar?cites=18035772114394170278&as_sdt=2005&sciodt=2007&hl=en",176,"2025-09-06 16:03:25","","","","",,,,,1,0.25,0,5,4,"Scientific data is mainly multidimensional in its nature, presenting interesting opportunities for optimizations when managed by array databases. However, in scenarios where data is …","https://sol.sbc.org.br/index.php/sbbd/article/download/17895/17729/","https://scholar.google.com/scholar?q=related:pkNcMC7vS_oJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
1,"MLM Silva, I de Castro Chaves…","Aplicação de Top-k Reverso com Privacidade sobre os Dados Públicos de COVID-19 no Estado do Ceará",2020,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/13640","https://scholar.google.com/scholar?cites=3281821368110480471&as_sdt=2005&sciodt=2007&hl=en",184,"2025-09-06 16:03:25","","","","",,,,,1,0.20,0,3,5,"Neste artigo propomos uma consulta top-k reverso diferencialmente privada. Nossa estratégia permite ao pesquisador obter dados menos frequentes de acordo com o seu critério de …","https://sol.sbc.org.br/index.php/sbbd/article/download/13640/13488","https://scholar.google.com/scholar?q=related:V_yCfiVfiy0J:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
1,"T de Melo","SentiProdBR: Building Domain-Specific Sentiment Lexicons for the Portuguese Language",2021,"Simpósio Brasileiro de Banco de Dados (SBBD)","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/17897","https://scholar.google.com/scholar?cites=5973507837275712375&as_sdt=2005&sciodt=2007&hl=en",189,"2025-09-06 16:03:25","","","","",,,,,1,0.25,1,1,4,"Online reviews are readily available on the Web and widely used for decision-making. However, only a few studies on Portuguese sentiment analysis are reported due to the lack of …","https://sol.sbc.org.br/index.php/sbbd/article/download/17897/17731","https://scholar.google.com/scholar?q=related:d6vUn7op5lIJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
0,"L Bencke, FSF Paula, BGT dos Santos…","Can we trust LLMs as relevance judges?",2024,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/30724","",101,"2025-09-06 16:03:25","","","","",,,,,0,0.00,0,4,1,"Evaluation is key for Information Retrieval systems and requires test collections consisting of documents, queries, and relevance judgments. Obtaining relevance judgments is the most …","https://sol.sbc.org.br/index.php/sbbd/article/download/30724/30527/","https://scholar.google.com/scholar?q=related:EldL2Ed1haAJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
0,"N Barchilón, HCV Lopes, M Kalinowski…","Enriquecimento de Dados com Base em Estatísticas de Grafo de Similaridade para Melhorar o Desempenho em Modelos de ML Supervisionados de Classificação",2024,"Simpósio Brasileiro de …","sol.sbc.org.br","https://sol.sbc.org.br/index.php/sbbd/article/view/30695","",115,"2025-09-06 16:03:25","","","","",,,,,0,0.00,0,4,1,"Esta pesquisa propõe um método para o enriquecimento de conjuntos de dados tabulares utilizando estatísticas de grafo, visando melhorar o desempenho de modelos de ML …","https://sol.sbc.org.br/index.php/sbbd/article/download/30695/30498/","https://scholar.google.com/scholar?q=related:y3dAtjvarasJ:scholar.google.com/&scioq=%222763+8979%22&hl=en&as_sdt=2007&as_ylo=2018&as_yhi=2024"
