Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
2,"Robert Bressan, Danilo Artigas","Modelagem por grafos do recolhimento de dutos flexíveis submarinos para projetos de descomissionamento",2019,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2019-106656",,103,"2025-09-05 13:14:46","proceedings-article","10.59254/sbpo-2019-106656","2965-1476",,,,,,1,0.17,1,2,6,,,
6,"Pedro Henrique González, Gabriel Souto de Jesus Augusto, Geraldo Regis Mauri, Glaydston Ribeiro, Luidi Gelabert Simonetti","GRASP Híbrido para Resolução do Problema de Localização de Facilidades Capacitadas em Dois Níveis",2019,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2019-106904",,278,"2025-09-05 13:14:46","proceedings-article","10.59254/sbpo-2019-106904","2965-1476",,,,,,1,0.17,0,5,6,,,
10,"Marcone Jamilson Freitas Souza, Puca Huachi Vaz Penna, Manoel Stilpen, Patrick Moreira Rosa, Janne Cavalcante Monteiro, Maillene Rodrigues Lisboa","Localização de mamógrafos: formulações e estudo preliminar de caso de Rondônia",2019,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2019-106776",,337,"2025-09-05 13:14:46","proceedings-article","10.59254/sbpo-2019-106776","2965-1476",,,,,,1,0.17,0,6,6,,,
2,"Nicholas Richers, Mateus Amorim, Edilson Fernandes de Arruda, Helena Rey","Optimal inventory policies for surgical supplies through a decision making model using Markov Decision Process for a minimum service level",2019,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2019-106772",,393,"2025-09-05 13:14:46","proceedings-article","10.59254/sbpo-2019-106772","2965-1476",,,,,,1,0.17,0,4,6,,,
4,"Antony Leme Novais Ferreira, Davi Guerra do Nascimento, Samuel da Costa Alves Basílio, João Gabriel Rocha Silva","UM MODELO MATEMÁTICO PARA CLASSIFICAÇÃO DE FAKE NEWS NA WEB",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122612",,21,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122612","2965-1476",,,,,,1,0.20,0,4,5,,,
2,"Bruno Duarte, Lucas Caldeira de Oliveira, Marcelo Teixeira, Marco Antonio de Castro Barbosa","ALGORITMOS MEMÉTICOS APLICADOS AO PROBLEMA DO CAIXEIRO VIAJANTE COM LIMITE DE CALADO",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122517",,67,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122517","2965-1476",,,,,,1,0.20,0,4,5,,,
2,"Cassia Akemi Castro Kuki, Francisca Lanai Ribeiro Torres, Victor Augusto Duraes de Faria, Anderson Rodrigo de Queiroz, Luana Medeiros Marangon Lima, José Wanderley Marangon Lima","Estratégias de Previsão de Vazão para Formação do Preço de Energia Elétrica no Curto Prazo",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122631",,173,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122631","2965-1476",,,,,,1,0.20,0,6,5,,,
2,"Igor Machado Coelho, Vitor Nazário Coelho, Anderson Zudio, Rodolfo Pereira Araujo, Matheus Nohra Haddad, Pablo Luiz Araújo Munhoz, Breno Maia, Luiz Satoru Ochi, Marcone Jamilson Freitas Souza","Microbenchmark Studies in OptFrame: a 10-Year Anniversary",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122744",,193,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122744","2965-1476",,,,,,1,0.20,0,9,5,,,
