Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"Brian Daniel Jaramillo León, Jônatas Boás Leite","OTIMIZAÇÃO MULTIOBJETIVO PARA PLANEJAMENTO DA MANUTENÇÃO PREVENTIVA EM REDES DE DISTRIBUIÇÃO CONSIDERANDO ÍNDICES DE CONFIABILIDADE E CRESCIMENTO DA VEGETAÇÃO",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122504",,20,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122504","2965-1476",,,,,,1,0.20,1,2,5,,,
4,"Antony Leme Novais Ferreira, Davi Guerra do Nascimento, Samuel da Costa Alves Basílio, João Gabriel Rocha Silva","UM MODELO MATEMÁTICO PARA CLASSIFICAÇÃO DE FAKE NEWS NA WEB",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122612",,21,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122612","2965-1476",,,,,,1,0.20,0,4,5,,,
2,"Bruno Duarte, Lucas Caldeira de Oliveira, Marcelo Teixeira, Marco Antonio de Castro Barbosa","ALGORITMOS MEMÉTICOS APLICADOS AO PROBLEMA DO CAIXEIRO VIAJANTE COM LIMITE DE CALADO",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122517",,67,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122517","2965-1476",,,,,,1,0.20,0,4,5,,,
1,"Nelson Hein, Adriana Kroenke, Andre Luis Korzenowski","Método Multicritério Baseado na Contabilidade Comportamental de Thaler",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122707",,95,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122707","2965-1476",,,,,,1,0.20,0,3,5,,,
1,"Fabrício Lacerda Biajoli, Luiz Antonio Nogueira Lorena, Antonio Chaves","UMA NOVA FORMULAÇÃO MATEMÁTICA PARA O PROBLEMA DAS P-MEDIANAS COM PREFERÊNCIAS",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122550",,126,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122550","2965-1476",,,,,,1,0.20,0,3,5,,,
1,"Carolayne de Paula Ferreira Mota, Jônatas Araújo de Almeida","USO DE SURROGATE WEIGHTS PARA O PROBLEMA SELEÇÃO DE PORTFÓLIO MULTICRITÉRIO ATRAVÉS DOS MÉTODOS SMARTER E PROMETHEE-ROC: UMA ANÁLISE ATRAVÉS DE SIMULAÇÃO",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122596",,145,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122596","2965-1476",,,,,,1,0.20,1,2,5,,,
1,"Miguel Ângelo Lellis Moreira, Marcos dos Santos, Carlos Francisco Simões Gomes, Adriana Manzolillo Sanseverino","PROMETHEE-SAPEVO-M1: modelagem híbrida para avaliação multicritério mediante entradas ordinais",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122576",,160,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122576","2965-1476",,,,,,1,0.20,0,4,5,,,
2,"Cassia Akemi Castro Kuki, Francisca Lanai Ribeiro Torres, Victor Augusto Duraes de Faria, Anderson Rodrigo de Queiroz, Luana Medeiros Marangon Lima, José Wanderley Marangon Lima","Estratégias de Previsão de Vazão para Formação do Preço de Energia Elétrica no Curto Prazo",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122631",,173,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122631","2965-1476",,,,,,1,0.20,0,6,5,,,
1,"Iago Augusto Carvalho, Amadeu Almeida Coco, Thiago Noronha, Christophe Didier Duhamel","A min-max regret approach for the Steiner Tree Problem with Interval Costs",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122730",,189,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122730","2965-1476",,,,,,1,0.20,0,4,5,,,
2,"Igor Machado Coelho, Vitor Nazário Coelho, Anderson Zudio, Rodolfo Pereira Araujo, Matheus Nohra Haddad, Pablo Luiz Araújo Munhoz, Breno Maia, Luiz Satoru Ochi, Marcone Jamilson Freitas Souza","Microbenchmark Studies in OptFrame: a 10-Year Anniversary",2020,"Anais do Simpósio Brasileiro de Pesquisa Operacional","Galoa","https://doi.org/10.59254/sbpo-2020-122744",,193,"2025-09-04 18:46:36","proceedings-article","10.59254/sbpo-2020-122744","2965-1476",,,,,,1,0.20,0,9,5,,,
