comp_id,sigla,nome,siglas_alt,nomes_alt,sociedade,avaliacao,origem,ieee_id,sol_id,gs_id,dblp_id
CompID900017,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,dQMJcSWIFtgJ.2020,
CompID900018,ACISP,Australasian Conference on Information Security and Privacy,ACISP,Australasian Conference on Information Security and Privacy,,Recommended,Qualis 2017-2020|SBC CE-2024,,,o0S2wIvNbXEJ.2024,acisp
CompID900019,ACIVS,Advanced Concepts for Intelligent Vision Systems,ACIVS,Advanced Concepts for Intelligent Vision Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,acivs
CompID900020,ACL,Annual Meeting of the Association for Computational Linguistics,ACL,Annual Meeting of the Association for Computational Linguistics,,Top10,Qualis 2017-2020|SBC CE-2024,,,Y3UjV9bSCxMJ.2024,acl
CompID900021,ACM CC,Creativity & Cognition,ACM CC,Creativity & Cognition,,Recommended,Qualis 2017-2020|SBC CE-2024,,,fckQPrz_q_gJ.2024,candc
CompID900022,ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,ACM CHI PLAY,ACM SIGCHI Annual Symposium on Computer-Human Interaction in Play,,Top20,Qualis 2017-2020|SBC CE-2024,,,WNLxUj5tg3gJ.2024,chiplay
CompID900023,ACM IMX,ACM International Conference on Interactive Media Experiences,ACM IMX,ACM International Conference on Interactive Media Experiences,,Top10,Qualis 2017-2020|SBC CE-2024,,,DSB1DhJ431MJ.2024,tvx
CompID900024,ACMIDC,ACM Internacional Conference on Interaction Design and Children,,,,,Qualis 2017-2020,,,,
CompID900025,ACMMM,ACM International Conference on Multimedia,,,,,Qualis 2017-2020,,,,
CompID900026,ACMSOCC,ACM Symposium on Cloud Computing,ACMSOCC,ACM Symposium on Cloud Computing,,Recommended,Qualis 2017-2020|SBC CE-2024,,,o1durVJyeP4J.2023,cloud
CompID900027,ACNS,Applied Cryptography and Network Security,ACNS,Applied Cryptography and Network Security,,Top20,Qualis 2017-2020|SBC CE-2024,,,uX6tRrNG0lQJ.2024,acns
CompID900028,ACRA,Australasian Conference on Robotics and Automation,ACRA,Australasian Conference on Robotics and Automation,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900029,ACSAC,Computer Security Applications Conference,ACSAC,Computer Security Applications Conference,,Top20,Qualis 2017-2020|SBC CE-2024,,,88oopSfS28MJ.2024,acsac
CompID900030,ADBIS,East European Conference on Advances in Databases and Information Systems,ADBIS,Advances in Databases and Information Systems|East European Conference on Advances in Databases and Information Systems|European Conference on Advances in Databases and Information Systems,,Top20,Qualis 2017-2020|SBC CE-2024,,,pEYfHFCSslcJ.2024,adbis
CompID900031,ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,adhoc-now
CompID900032,ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,,,,,Qualis 2017-2020,,,,
CompID900033,ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,,,,,Qualis 2017-2020,,,,
CompID900034,AES,International Convention of the Audio Engineering Society,AES,International Convention of the Audio Engineering Society,,Top20,Qualis 2017-2020|SBC CE-2024,,,,
CompID900035,AES-ICSA,AES International Conference on Semantic Audio,AES-ICSA,AES International Conference on Semantic Audio,,Top20,Qualis 2017-2020|SBC CE-2024,,,,
CompID900036,AFRICACRYPT,International Conference on Cryptology in Africa,,,,,Qualis 2017-2020,,,,
CompID900037,AGILEGIS,Conference on Geographic Information Science,,,,,Qualis 2017-2020,,,,
CompID900038,AH,Augmented Human International Conference,AH,Augmented Human International Conference,,Top10,Qualis 2017-2020|SBC CE-2024,,,HqiGvACsawYJ.2024,aughuman
CompID900039,AHS,NASA/ESA Conference on Adaptive Hardware and Systems,,,,,Qualis 2017-2020,,,,
CompID900040,AI,Canadian Conference on Artificial Intelligence,,,,,Qualis 2017-2020,,,,
CompID900041,AIC,International Workshop on Artificial Intelligence and Cognition,,,,,Qualis 2017-2020,,,,
CompID900042,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,,,,,Qualis 2017-2020,,,,
CompID900043,AICT,International Conference on Application of Information and Communication Technologies,AICT,International Conference on Application of Information and Communication Technologies,,Recommended,Qualis 2017-2020|SBC CE-2024,,,lyn0_4ToR5cJ.2024,aict
CompID900044,AICT-IARIA,IARIA Advanced International Conference on Telecommunications,,,,,Qualis 2017-2020,,,,
CompID900045,AIED,International Conference on Artificial Intelligence in Education,AIED,Artificial Intelligence in Education|Artificial Intelligence in Education Conference|International Conference on Artificial Intelligence in Education,,Top10,Qualis 2017-2020|SBC CE-2024,,,l2Fh9zgyJ3sJ.2024,aied
CompID900046,AIES,"AAAI/ACM Conference on AI, Ethics, and Society",,,,,Qualis 2017-2020,,,,
CompID900047,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment|AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment ,,Top10,Qualis 2017-2020|SBC CE-2024,,,,aiide
CompID900048,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,,Recommended,Qualis 2017-2020|SBC CE-2024,,,vvYv-MYYfD0J.2020,
CompID900049,AIME,Conference on Artificial Intelligence in Medicine,AIME,Artificial Intelligence in Medicine|Conference on Artificial Intelligence in Medicine,,Top20,Qualis 2017-2020|SBC CE-2024,,,G4epD5rVtawJ.2024,aime
CompID900050,AIML,Advances in Modal Logic,AIML,Advances in Modal Logic,,Top20,Qualis 2017-2020|SBC CE-2024,,,,aiml
CompID900051,AIMS,"International Conference on Autonomous Infrastructure, Management and Security",,,,,Qualis 2017-2020,,,,
CompID900052,AINA,IEEE International Conference on Advanced Information Networking and Applications,AINA,IEEE International Conference on Advanced Information Networking and Applications,,Recommended,Qualis 2017-2020|SBC CE-2024,,,FBp6ksxIdQYJ.2024,aina
CompID900053,AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,,,,,Qualis 2017-2020,,,,
CompID900054,AIPR,Applied Imagery Pattern Recognition Workshop,,,,,Qualis 2017-2020,,,,
CompID900055,AISTATS,International Conference on Artificial Intelligence and Statistics,AISTATS,International Conference on Artificial Intelligence and Statistics,,Top20,Qualis 2017-2020|SBC CE-2024,,,PhcE9OLs0MUJ.2024,aistats
CompID900056,AITest,IEEE International Conference On Artificial Intelligence Testing,,,,,Qualis 2017-2020,,,,
CompID900057,AITM,Conference on Advanced Information Technologies for Management,,,,,Qualis 2017-2020,,,,
CompID900058,AlCoB,International Conference on Algorithms for Computational Biology,AlCoB,International Conference on Algorithms for Computational Biology,,Top20,Qualis 2017-2020|SBC CE-2024,,,,
CompID900059,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,alenex
CompID900060,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900061,ALLERTON,"Allerton Conference on Communication, Control, and Computing",ALLERTON,"Allerton Conference on Communication, Control, and Computing",,Recommended,Qualis 2017-2020|SBC CE-2024,,,HbOjoTJcHB8J.2023,allerton
CompID900062,AMCIS,Americas Conference on Information Systems,AMCIS,Americas Conference on Information Systems,,Top10,Qualis 2017-2020|SBC CE-2024,,,Z7jeczV8wooJ.2024,amcis
CompID900063,AMD,Workshop on Analysis of Movement Data,AMD,Workshop on Analysis of Movement Data,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900064,AMIA,Annual Symposium of the American Medical Informatics Association,AMIA,AMIA Symposium|American Medical Informatics Association Annual Symposium,,Top10,Qualis 2017-2020|SBC CE-2024,,,MtRw20mokCYJ.2024,amia
CompID900065,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,amw
CompID900066,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,ancs
CompID900067,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,,Top20,Qualis 2017-2020|SBC CE-2024,,,,
CompID900068,ANSS,Annual Simulation Symposium,,,,,Qualis 2017-2020,,,,
CompID900069,ANT,"International Conference on Ambient Systems, Networks and Technologies",,,,,Qualis 2017-2020,,,,
CompID900070,ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,,,,,Qualis 2017-2020,,,,
CompID900071,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,iPNrzhpu_IoJ.2024,apccas
CompID900072,APKC,ACM on ASIA Public-Key Cryptography Workshop,,,,,Qualis 2017-2020,,,,
CompID900073,APLAS,Asian Symposium on Programming Languages and Systems,APLAS,Asian Symposium on Programming Languages and Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,dHznF5bq130J.2022,aplas
CompID900074,APNOMS,Asia-Pacific Network Operations and Management Symposium,APNOMS,Asia-Pacific Network Operations and Management Symposium,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,apnoms
CompID900075,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,,Top20,Qualis 2017-2020|SBC CE-2024,,,M9oM2PGejDoJ.2024,random
CompID900076,APWEB,Asia-Pacific Web Conference,APWEB,Asia-Pacific Web Conference,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,apweb
CompID900077,ARC,International Symposium on Applied Reconfigurable Computing,ARC,Applied Reconfigurable Computing|International Symposium on Applied Reconfigurable Computing,,Recommended,Qualis 2017-2020|SBC CE-2024,,,YfOo-Q2IJm8J.2024,arc
CompID900078,ARCS,International Conference on Architecture of Computing Systems,ARCS,International Conference on Architecture of Computing Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,0iDRKaj8G38J.2024,arcs
CompID900079,ARES,"International Conference on Availability, Reliability and Security",ARES,"International Conference on Availability, Reliability and Security",,Top20,Qualis 2017-2020|SBC CE-2024,,,GIrj2BSjfiwJ.2024,IEEEares
CompID900080,ARIC,International Workshop on Intelligent and Resilient Cities,ARIC,International Workshop on Intelligent and Resilient Cities,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900081,ARM,Workshop on Adaptive and Reflective Middleware,,,,,Qualis 2017-2020,,,,
CompID900082,ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts (ARSO),,Recommended,Qualis 2017-2020|SBC CE-2024,,,MHGPX0ifa6MJ.2020,
CompID900083,ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",,Recommended,Qualis 2017-2020|SBC CE-2024,,,8awDgn_OhGYJ.2024,asap
CompID900084,ASE,IEEE/ACM International Conference on Automated Software Engineering,ASE,IEEE/ACM International Conference on Automated Software Engineering|IEEE/ACM International Conference on Automated Software Engineering (ASE),,Top10,Qualis 2017-2020|SBC CE-2024,,,0NzweKVXmpkJ.2024,kbse
CompID900085,ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security",ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security|ACM Symposium on Information, Computer and Communications Security",,Top10,Qualis 2017-2020|SBC CE-2024,,,3VLtGPwkq54J.2024,asiaccs
CompID900086,ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security|International Conference on The Theory and Application of Cryptology and Information Security,,Top10,Qualis 2017-2020|SBC CE-2024,,,hxrvQsnJSDMJ.2024,asiacrypt
CompID900087,ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",ASID,"International Conference on Anti-counterfeiting, Security, and Identification in Communication",,Recommended,Qualis 2017-2020|SBC CE-2024,,,G0FddLwZFDcJ.2024,
CompID900088,ASMS,Advanced Satellite Multimedia Systems Conference,ASMS,Advanced Satellite Multimedia Systems Conference,,Recommended,Qualis 2017-2020|SBC CE-2024,,,O90WS0zZyBYJ.2019,asms-spsc
CompID900089,ASONAM,IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,"IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining|International Conference on Advances in Social Networks Analysis and Mining|International Conference on Advances in Social Networks Analysis and Mining,",,Recommended,Qualis 2017-2020|SBC CE-2024,,,71Q5CJZj-VYJ.2024,asunam
CompID900090,ASP-DAC,Asia and South Pacific Design Automation Conference,ASP-DAC,Asia and South Pacific Design Automation Conference|Asia and South Pacific Design Automation Conference ,,Top10,Qualis 2017-2020|SBC CE-2024,,,4OI7pMNBopQJ.2024,aspdac
CompID900091,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,ASPLOS,International Conference on Architectural Support for Programming Languages and Operating Systems,,Top10,Qualis 2017-2020|SBC CE-2024,,,KlkFB9T8yJEJ.2024,asplos
CompID900092,ASPRS,Annual Conference and International Lidar Mapping Forum,ASPRS,Annual Conference and International Lidar Mapping Forum,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900093,ASSETS,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS|Assets,International ACM Conference on Assistive Technologies|International ACM Conference on Assistive Technologies (Assets)|International ACM SIGACCESS Conference on Computers and Accessibility|International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),,Top10,Qualis 2017-2020|SBC CE-2024,,,c5bgEi18VesJ.2024,assets
CompID900094,AST,IEEE/ACM International Workshop on Automation of Software Testing,AST,IEEE/ACM International Workshop on Automation of Software Testing,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,ast
CompID900095,ASWEC,Australasian Software Engineering Conference,,,,,Qualis 2017-2020,,,,
CompID900096,ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems,ASYNC,IEEE International Symposium on Asynchronous Circuits and Systems|International Symposium on Asynchronous Circuits and Systems|Symposium on Asynchronous Circuits and Systems,,Top20,Qualis 2017-2020|SBC CE-2024,,,,async
CompID900097,ATC,USENIX Annual Technical Conference,ATC,USENIX Annual Technical Conference,,Recommended,Qualis 2017-2020|SBC CE-2024,,,UoM6MOnWKE8J.2023,atc
CompID900098,Atech,International Conference on Agreement Technologies,,,,,Qualis 2017-2020,,,,
CompID900099,ATS,Asian Test Symposium,,,,,Qualis 2017-2020,,,,
CompID900100,ATT,International Workshop on Agents in Traffic and Transportation,,,,,Qualis 2017-2020,,,,
CompID900101,AUDIOMOSTLY,Audio Mostly Conference,AUDIOMOSTLY,Audio Mostly Conference,,Top20,Qualis 2017-2020|SBC CE-2024,,,,
CompID900102,AusDM,Australasian Data Mining Conference,,,,,Qualis 2017-2020,,,,
CompID900103,AVI,International Working Conference on Advanced Visual Interfaces,AVI,Working Conference on Advanced Visual Interfaces|Working Conference on Advanced Visual Interfaces ,,Top20,Qualis 2017-2020|SBC CE-2024,,,,avi
CompID900104,AVSS,IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,IEEE International Conference on Advanced Video and Signal-Based Surveillance,,Recommended,Qualis 2017-2020|SBC CE-2024,,,lj8GV_9F0b8J.2024,avss
CompID900105,BCB,"ACM International Conference on Bioinformatics, Computational Biology, and Health Informatics",BCB,"ACM Conference on Bioinformatics, Computational Biology, and Health Informatics",,Top10,Qualis 2017-2020|SBC CE-2024,,,A0r8tJR7iaEJ.2024,bcb
CompID900106,BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,BCS-HCI,Conference of the British Computer Society Human Computer Interaction Specialist Group,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,bcshci
CompID900107,BDCAT,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",,,,,Qualis 2017-2020,,,,
CompID900108,BDCLOUD,International Conference on Big Data and Cloud Computing,BDCLOUD,International Conference on Big Data and Cloud Computing,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,bdcloud
CompID900109,BENCH,"International Symposium on Benchmarking, Measuring and Optimization",,,,,Qualis 2017-2020,,,,
CompID900110,BESC,"International Conference on Behavior, Economic and Social Computing",BESC, International Conference on Behavioural and Social Computing,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900111,BIATA,Bioinformatics: from Algorithms to Applications,BIATA,Bioinformatics: from Algorithms to Applications,,Top20,Qualis 2017-2020|SBC CE-2024,,,,
CompID900112,BIBE,IEEE International Conference on BioInformatics and BioEngineering,BIBE,IEEE International Conference on Bioinformatics and Bioengineering,,Top10,Qualis 2017-2020|SBC CE-2024,,,2QSZR8tX_koJ.2019,
CompID900113,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,BIBM,IEEE International Conference on Bioinformatics and Biomedicine,,Top10,Qualis 2017-2020|SBC CE-2024,,,4m3nKpBBPt4J.2019,
CompID900114,BICT,EAI International Conference on Bio-inspired Information an Communications Technologies,,,,,Qualis 2017-2020,,,,
CompID900115,BIGDATA,IEEE International Conference on Big Data,BIGDATA|BigData,IEEE International Conference on Big Data|IEEE International Conference on BigData,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,bigdataconf
CompID900116,BigDataSE,IEEE International Conference On Big Data Science And Engineering,BigDataSE,IEEE International Conference On Big Data Science And Engineering,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,bigdatase
CompID900117,BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,BIGDATASERVICE,IEEE International Conference on Big Data Computing Service and Applications,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,bigdataservice
CompID900118,BIGDSE,IEEE/ACM International Workshop on Big Data Software Engineering,,,,,Qualis 2017-2020,,,,
CompID900119,BigSpatial,ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data,BigSpatial,International Workshop on Analytics for Big Geospatial Data,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,bigspatial-ws
CompID900120,BioCOMP-WC,International Conference on Bioinformatics & Computational Biology,,,,,Qualis 2017-2020,,,,
CompID900121,BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,BioRob,IEEE RAS & EMBS International Conference on Biomedical Robotics and Biomechatronics,,Top20,Qualis 2017-2020|SBC CE-2024,,,mll7l7Q4NakJ.2020,
CompID900122,BIOSENSORS,World Congress on Biosensors,,,,,Qualis 2017-2020,,,,
CompID900123,BIS,International Conference on Business Information Systems,BIS,BIS: Business Information Systems|International Conference on Business Information Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,qAXde7fvX5YJ.2024,bis
CompID900124,BLACKSEACOM,IEEE International Black Sea Conference on Communications and Networking,,,,,Qualis 2017-2020,,,,
CompID900125,BLOCKCHAIN,IEEE International Conference on Blockchain,BLOCKCHAIN|Blockchain,IEEE International Conference on Blockchain,,Recommended,Qualis 2017-2020|SBC CE-2024,,,DGN3r9u7HNQJ.2023,blockchain2
CompID900126,BMEI,International Conference BioMedical Engineering and Informatics,,,,,Qualis 2017-2020,,,,
CompID900127,BMVC,British Machine Vision Conference,BMVC,British Machine Vision Conference,,Recommended,Qualis 2017-2020|SBC CE-2024,,,T_DfB2ikUbwJ.2024,bmvc
CompID900128,BPM,International Conference on Business Process Management,BPM,International Conference on Business Process Management,,Top10,Qualis 2017-2020|SBC CE-2024,,,0N6unYCR7HoJ.2024,bpm
CompID900129,BPMS2,Workshop on Social and Human Aspects of Business Process Management,BPMS2,Workshop on Social and Human Aspects of Business Process Management,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,bpm
CompID900130,BRACIS,Brazilian Conference on Intelligent Systems,BRACIS,Brazilian Conference on Intelligent Systems,,Top10,Qualis 2017-2020|SBC CE-2024,,,qXwIadFVNCsJ.2024,bracis
CompID900131,BRAHUR,Brazilian Humanoid Robot Workshop,BRAHUR,Brazilian Humanoid Robot Workshop,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900132,BRAINS,"Blockchain, Robotics and AI for Networking Security Conference",,,,,Qualis 2017-2020,,,,
CompID900133,BRASERO,Brazilian Workshop on Service Robotics,BRASERO,Brazilian Workshop on Service Robotics,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900134,BRASNAM,Brazilian Workshop on Social Network Analysis and Mining,BRASNAM|BraSNAM,Brazilian Workshop on Social Network Analysis and Mining|Workshop Brasileiro de Análise de Redes Sociais e Mineração|Workshop Brasileiro de Análise de Redes Sociais e Mineração (BraSNAM),,Top10,Qualis 2017-2020|SBC CE-2024,,,uCHdYLLURp0J.2024,
CompID900135,BRESCI,Brazilian e-Science Workshop,BreSci,Brazilian e-Science Workshop,,Recommended,Qualis 2017-2020|SBC CE-2024,,,,
CompID900136,BSB,Brazilian Symposium on Bioinformatics,BSB,Brazilian Symposium on Bioinformatics,,Top20,Qualis 2017-2020|SBC CE-2024,,,,
CompID900137,BSN,IEEE-EMBS International Conference on Wearable and Implantable Body Sensor Networks,BSN,IEEE-EMBS INTERNATIONAL CONFERENCE ON WEARABLE AND IMPLANTABLE BODY SENSOR NETWORKS|International Conference on Wearable and Implantable Body Sensor Networks|International Workshop on Wearable and Implantable Body Sensor Networks,,Top20,Qualis 2017-2020|SBC CE-2024,,,L-flmcutX4sJ.2024,bsn
CompID900138,BTAS,"IEEE International Conference on Biometrics: Theory, Applications, and Systems",BTAS,IEEE International Conference on Biometrics: Theory Applications and Systems,,Recommended,Qualis 2017-2020|SBC CE-2024,,,FetF6O7LEY8J.2024,btas
CompID900139,C&T,International Conference on Communities and Technologies,C&T,International Conference on Communities and Technologies,,Top10,Qualis 2017-2020|SBC CE-2024,,,,
CompID900140,C4BIE,"International Workshop on Cloud for Business, Industry and Enterprises",,,,,Qualis 2017-2020,,,,
CompID900141,CAD,International CAD Conference,,,,,Qualis 2017-2020,,,,
CompID900142,CADE,International Conference on Automated Deduction,,,,,Qualis 2017-2020,,,,
CompID900143,CAIP,International Conference on Computer Analysis of Images and Patterns,CAIP,International Conference on Computer Analysis of Images and Patterns,,Top20,Qualis 2017-2020|SBC CE-2024,,,,caip
CompID900144,CAISE,International Conference on Advanced Information Systems Engineering,CAISE|CAiSE,International Conference on Advanced Information Systems Engineering,,Top10,Qualis 2017-2020|SBC CE-2024,,,5PSS5xHm_KwJ.2024,caise
CompID900145,CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,CALDAM,International Conference on Algorithms and Discrete Applied Mathematics,,Recommended,Qualis 2017-2020|SBC CE-2024,,,oMZjQ-X5R1EJ.2024,caldam
CompID900146,CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,CAMAD,IEEE International Workshop on Computer Aided Modeling and Design of Communication Links and Networks,,Recommended,Qualis 2017-2020|SBC CE-2024,,,zsyVgJ0BX8MJ.2023,camad
CompID900147,CANDAR,International Symposium on Computing and Networking,,,,,Qualis 2017-2020,,,,
CompID900148,CANS,International Conference on Cryptology and Network Security,CANS,Cryptology and Network Security|International Conference on Cryptology and Network Security,,Recommended,Qualis 2017-2020|SBC CE-2024,,,q7kWOn3QmqYJ.2024,cans
CompID900149,CAPSI,Conferência da Associação Portuguesa de Sistemas de Informação,,,,,Qualis 2017-2020,,,,
CompID900150,CARLA,Latin America High Performance Computing Conference,,,,,Qualis 2017-2020,,,,
CompID900151,CASA,Conference on Computer Animation and Social Agents,CASA,Conference on Computer Animation and Social Agents|International Conference on Computer Animation and Social Agents,,Top20,Qualis 2017-2020|SBC CE-2024,,,,ca
CompID900152,CASCON,Annual International Conference on Computer Science and Software Engineering,,,,,Qualis 2017-2020,,,,
CompID900153,CASE,IEEE Conference on Automation Science and Engineering,CASE,IEEE Conference on Automation Science and Engineering,,Top10,Qualis 2017-2020|SBC CE-2024,,,iJOqTiZA0TgJ.2020,
CompID900154,CASES,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,"Conference on Compilers, Architectures and Synthesis for Embedded Systems|International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",,Recommended,Qualis 2017-2020|SBC CE-2024,,,,cases
CompID900155,CATA,International Conference on Computers and their Applications,,,,,Qualis 2017-2020,,,,
