Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Anais,Anais Link,GS Link,DBLP Link
NOF,International Conference on Network of the Future,,nan,,Recommended,CE-RESD,,nan,mg4DaRHarRgJ,nof
NOMS,IEEE/IFIP Network Operations and Management Symposium,,nan,,Recommended,CE-RESD,,nan,DWJBNISV1bQJ,noms
NORCAS,Nordic Circuits and Systems Conference,,nan,,Recommended,CE-CCI,,nan,VvyAP556dQAJ,norcas
NordiCHI,Nordic Conference on Human-Computer Interaction,,Nordic forum for Human-Computer Interaction|nan,,Top10,CE-IHC,,nan,JMsm_h2lofMJ,nordichi
NSDI,Networked Systems Design and Implementation,,USENIX Symposium on Networked Systems Design and Implementation|nan,,Top10,CE-RESD|CE-TF,,nan,J92rQU3cJVwJ,nsdi
NSS,Network and System Security,,nan,,Recommended,CE-SEG,,nan,mDgNlZgOboEJ,nss
NSV,International Workshop on Numerical Software Verification,,,,,,,,,
NTMS,"IFIP International Conference on New Technologies, Mobility and Security",,nan,,Recommended,CE-SEG,,nan,BJDMFlAVW-cJ,ntms
OCEAN,IEEE Oceans Conference,,nan,,Recommended,CE-R,,nan,gefgzKCl3_0J,
OM,International Workshop on Ontology Matching,,,,,,,,,
ONDM,Conference on Optical Network Design and Modeling,,,,,,,,,
ONTOBRAS,Seminar on Ontology Research in Brazil,,Ontology Research in Brazil|Seminário de Pesquisa em Ontologias no Brasil|nan,,Recommended,CE-BD|CE-IA|CE-PLN,,nan,xUT2Pv_FWpIJ,ontobras
Onward!,Onward!,,nan,,Recommended,CE-LP,,nan,,onward
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",,Proceedings of the ACM on Programming Languages|nan,,Top10,CE-ES|CE-LP,,nan,k7wjG1erdwwJ,oopsla
OpenSym,International Symposium on Open Collaboration,,nan,,Recommended,CE-ES|CE-SC,,nan,,wikis
OPODIS,International Conference on Principles of Distributed Systems,,nan,,Recommended,CE-RESD|CE-TF,,nan,0luRC0xHVlsJ,opodis
OR,International Conference on Operations Research,,,,,,,,,
OSDI,USENIX Symposium on Operating Systems Design and Implementation,,nan,,Recommended,CE-RESD|CE-TF,,nan,nZZ8G3Einp0J,osdi
OSS,International Conference on Open Source Systems,,nan,,Recommended,CE-ES,,nan,,oss
OzCHI,Australian Conference on Human-Computer Interaction,,Australasian Computer-Human Interaction Conference|nan,,Top20,CE-IHC,,nan,OZvZzNUF9W0J,ozchi
PAAMS,"International Conference on Practical Applications of Agents, Multi-Agent Systems and Sustainability",,,,,,,,,
PAAR,Practical Aspects of Automated Reasoning,,,,,,,,,
PACBB,International Conference on Practical Applications of Computational Biology & Bioinformatics,,nan,,Top10,CE-BioComp,,nan,mdYvjBmRbpwJ,
PacificVis,IEEE Pacific Visualization Symposium,,nan,,Top10,CE-GRAPI|CE-RV,,nan,eyKsRVMpGxgJ,pacificvis
PACIS,Pacific Asia Conference on Information Systems,,nan,,Recommended,CE-SI,,nan,CY_aqjanJeoJ,pacis
PACT,International Conference on Parallel Computing Technologies,,nan,,Recommended,CE-ACPAD,,nan,rAbNW5NaTSIJ,pact
PACTT,International Conference on Parallel Architectures and Compilation Techniques,,nan,,Top20,CE-ACPAD,,nan,OLgTDUKI5wUJ,IEEEpact
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,,Pacific-Asia Conference on Knowledge Discovery and Data Mining (PAKDD)|nan,,Recommended,CE-BD|CE-IA|CE-IC,,nan,I9UJ598p80sJ,pakdd
PAM,Passive and Active Network Measurement Conference,,nan,,Recommended,CE-RESD,,nan,fZ5Q0nFEqjEJ,pam
ParCO,International Conference on Parallel Computing,,,,,,,,,
PATAT,International Conference on the Practice and Theory of Automated Timetabling,,,,,,,,,
PATMOS,"International Workshop on Power and Timing Modeling, Optimization and Simulation",,nan,,Recommended,CE-CCI,,nan,,
PATTERNS,International Conferences on Pervasive Patterns and Applications,,,,,,,,,
PDC,Participatory Design Conference,,nan,,Top20,CE-IHC,,nan,-nBNAaWmWB0J,pdc
PDCAT,"International Conference on Parallel and Distributed Computing, Applications and Technologies",,nan,,Recommended,CE-ACPAD,,nan,BZK2l1JW2UsJ,pdcat
PDES,IFAC International Conference on Programmable Devices and Embedded Systems,,nan,,Recommended,CE-ESC,,nan,,pdes
