Sigla,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Anais,Anais Link,GS Link,DBLP Link
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,,Symposium on Software Engineering for Adaptive and Self-Managing Systems,,Recommended,CE-ES,,nan,-CeAPmbJYRoJ,seams
SEC,International Conference on ICT Systems Security and Privacy Protection,,IFIP TC 11 International Conference on ICT Systems Security and Privacy Protection (IFIP SEC)|nan,,Recommended,CE-SEG,,nan,pMNODcGxo4cJ,sec
SeCoGis,International Workshop on Semantic and Conceptual Issues in Geographic Information Systems,,,,,,,,,
SECON,"IEEE International Conference on Sensing, Communication and Networking",,nan,,Recommended,CE-RESD,,nan,Vhi1mcaJdXEJ,secon
SECRYPT,International Conference on Security and Cryptography,,nan,,Recommended,CE-SEG,,nan,xSWUNlszhlkJ,secrypt
SEFM,International Conference on Software Engineering and Formal Methods,,Software Engineering and Formal Methods|nan,,Top10,CE-MF,,nan,8ADvAx1bYPYJ,
SEGAH,International Conference on Serious Games and Applications for Health,,,,,,,,,
SEKE,International Conference on Software Engineering and Knowledge Engineering,,International Conference on Software Engineering and Knowledge Engineering (SEKE)|nan,,Recommended,CE-BD|CE-ES,,nan,JQUkUFehKJAJ,seke
SEMEVAL,International Workshop on Semantic Evaluation,,nan,,Top20,CE-PLN,,nan,nnrJuCTuhnwJ,semeval
SEMISH,Seminário Integrado de Software e Hardware,,nan,,Recommended,CE-IHC,,https://sol.sbc.org.br/index.php/semish/issue/archive,wGjmHjjfBacJ,
SENSORNETS,International Conference on Sensor Networks,,nan,,Recommended,CE-CCI,,nan,xdfwLOgmtocJ,sensornets
SenSys,ACM Conference on Embedded Network Sensor Systems,,nan,,Top20,CE-RESD,,nan,LThmRgAPtwoJ,sensys
SEPLN,CONFERENCE OF THE SPANISH SOCIETY FOR NATURAL LANGUAGE PROCESSING,,,,,,,,,
SERA,"Software Engineering Research, Management and Applications",,,,,,,,,
SERIAL,Workshop on Scalable and Resilient Infrastructures for Distributed Ledgers,,,,,,,,,
SERP4IoT,International Workshop on Software Engineering Research & Practices for the Internet of Things,,,,,,,,,
SERVICES,IEEE World Congress on Services,,,,,,,,,
SESoS,International Workshop on Software Engineering for Systems-of-Systems,,International Workshop on Software Engineering for Systems-of-Systems and Software Ecosystems|nan,,Recommended,CE-ES|CE-SI,,nan,,sessos
SeWeBMeDA,Workshop on Semantic Web Solutions for Large-Scale Biomedical,,,,,,,,,
SGP,Eurographics Symposium on Geometry Processing,,,,,,,,,
SIBGRAPI,"Conference on Graphics, Patterns and Images",,"SIBGRAPI Conference on Graphics, Patterns and Images|nan",,Top10,CE-GRAPI|CE-RV,,nan,sPLlun2OWTwJ,sibgrapi
SIES,International Symposium on Industrial Embedded Systems,,nan,,Recommended,CE-ESC,,nan,DCw_w5dKpBoJ,sies
SIGCOMM,ACM SIGCOMM Conference,,nan,,Top10,CE-RESD,,nan,xd8jQKOw5ikJ,sigcomm
SIGCSE,ACM Technical Symposium on Computer Science Education,,Technical Symposium on Computer Science Education|nan,,Top10,CE-EDUCOMP|CE-IE|CE-RV,,nan,rrlriATuz7wJ,sigcse
SIGDIAL,Annual Meeting of the Special Interest Group on Discourse and Dialogue,,nan,,Recommended,CE-PLN,,nan,9-0ktENZUpkJ,sigdial
SIGDOC,ACM International Conference on Design of Communication,,nan,,Recommended,CE-IHC,,nan,Z4k3y0OWHUwJ,sigdoc
SIGGRAPH,International Conference and Exibition on Computer Graphics and Interactive Techniques,,ACM International Conference on Computer Graphics and Interactive Techniques|Proceedings of the ACM on Computer Graphics and Interactive Techniques|nan,,Recommended,CE-GRAPI|CE-IHC,,nan,4ZH62wP1FOcJ,siggraph
SIGGRAPH Asia,ACM International Conference On Computer Graphics & Interactive Techniques / Asia,,Proceedings of the ACM on Computer Graphics and Interactive Techniques - Asia|nan,,Top10,CE-GRAPI,,nan,dXZdebXoOt0J,
SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,,ACM SIGIR Conference on Research and Development in Information Retrieval|nan,,Recommended,CE-BD|CE-PLN,,nan,Gf4FWVmkfbwJ,sigir
SIGIReCom,SIGIR Workshop on eCommerce,,,,,,,,,
SIGKDD,ACM International Conference on Knowledge Discovery and Data Mining,,nan,,Recommended,CE-ACPAD|CE-IA,,nan,DxPOk84pRIIJ,kdd
SIGMOD,ACM Conference on Management of Data,,ACM International Conference on Management of Data|nan,,Top10,CE-BD,,nan,,sigmod
SIGSE,ACM Technical Symposium on Computer Science Education,,,,,,,,,
SIGSPATIAL,ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,,nan,,Recommended,CE-BD|CE-Geoinformatica,,nan,OOX3mKRBpYMJ,gis
SII,IEEE/SICE International Symposium on System Integration,,nan,,Recommended,CE-R,,nan,fNsEtErxZiIJ,
SIIE,Simpósio Internacional de Informática Educatica,,,,,,,,,
SIMBig,Annual International Symposium on Information Management and Big Data,,nan,,Recommended,CE-BD,,nan,,simbig
SIMPAR,"IEEE International Conference on Simulation, Modeling, and Programming for Autonomous Robots",,,,,,,,,
SIMPDA,International Sysmposium on Data-Driven Process Discovery and Analysis,,,,,,,,,
SIMULTECH,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications",,,,,,,,,
SIoT,International Workshop on Secure Internet of Things,,,,,,,,,
SISAP,nternational Conference on Similarity Search and Applications,,International Conference on Similarity Search and Applications|Similarity Search and Applications,,Recommended,CE-BD,,nan,,sisap
SLATE,"Symposium on Languages, Applications and Technologies",,,,,,,,,
SLE,ACM SIGPLAN International Conference on Software Language Engineering,,nan,,Top20,CE-ES|CE-LP,,nan,gvR2lhvj3awJ,sle
SLERD,Conference on Smart Learning Ecosystems and Regional Development,,,,,,,,,
SMARTCOMP,International Conference on Smart Computing,,,,,,,,,
SMARTGREENS,International Conference on Smart Grids and Green ICT Systems,,,,,,,,,
SMARTGRIDCOMM,IEEE International Conference on Smart Grid Communications,,,,,,,,,
SMC,"IEEE International Conference on Systems, Man and Cybernetics",,"IEEE International Conference on Systems Man and Cybernetics|IEEE International Conference on Systems, Man, and Cybernetics|Sound and Music Computing Conference|nan",,Top10,CE-CM|CE-ESC|CE-GRAPI|CE-IA|CE-IC|CE-RV|CE-SI,,nan,qJlcVei6YeoJ,smc
SMusC,Sound and Music Computing Conference,,,,,,,,,
SNAA,Workshop on Social Network Analysis in Applications,,nan,,Recommended,CE-BD,,nan,,
SOCA,IEEE Conference on Service-Oriented Computing and Applications,,,,,,,,,
SOCC,IEEE International System-on-Chip Conference,,ACM Symposium on Cloud Computing|IEEE International SOC Conference|nan,,Recommended,CE-ACPAD|CE-BD|CE-CCI,,nan,-JLYUDNfBVUJ,cloud
SoCG,International Symposium on Computational Geometry,,nan,,Top20,CE-ACO,,nan,MGCukPJHrn0J,compgeom
SOCIALCOM,International Conference on Social Computing,,IEEE International Conference on Social Computing (SocialCom),,Recommended,CE-SI,,nan,,socialcom
SOCINFO,International Conference on Social Informatics,,nan,,Recommended,CE-SI,,nan,,socinfo
SoCPaR,International Conference on Soft Computing and Pattern Recognition,,,,,,,,,
SODA,ACM-SIAM Symposium on Discrete Algorithms,,nan,ACM-SIAM,CE-ACO Top10 2024,CE-ACO,,nan,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=9lG2cY79sEoJ.2024,https://dblp.org/db/conf/soda/index.html
SOFSEM,International Conference on Current Trends in Theory and Practice of Computer Science,,nan,,Recommended,CE-ACO|CE-BD|CE-L,,nan,,sofsem
SOFTCOM,"International Conference on Software, Telecommunications and Computer Networks",,,,,,,,,
SOFTENG-IARIA,IARIA International Conference on Advances and Trends in Software Engineering,,,,,,,,,
SoftStart,International Workshop on Software Engineering for Startups,,,,,,,,,
SORT,IEEE Workshop on Self-Organizing Real-Time Systems,,,,,,,,,
SOSE,IEEE International Symposium on Service-Oriented System Engineering,,,,,,,,,
SoSEC,IEEE Annual System of Systems Engineering Conference,,,,,,,,,
SOSP,ACM Symposium on Operating Systems Principles,,nan,,Recommended,CE-RESD,,nan,,sosp
SOSR,Symposium on Software Defined Networking Research,,nan,,Recommended,CE-RESD,,nan,,sosr
SOUPS,Symposium On Usable Privacy and Security,,nan,,Top20,CE-SEG,,nan,d6VxAyLWqWgJ,soups
SoWeMi,International Workshop on Mining the Social Web,,nan,,Recommended,CE-SI,,nan,,
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures,,nan,,Recommended,CE-ACPAD|CE-RESD,,nan,siTGI384Pw4J,spaa
SpaCCS,"International Conference on Security, Privacy and Anonymity in Computation, Communication and Storage",,,,,,,,,
SPACE,"International Conference on Security, Privacy, and Applied Cryptography Engineering",,,,,,,,,
SpatialBigData,Spatial Big Data and Machine Learning in GIScience,,nan,,Recommended,CE-Geoinformatica,,nan,,
SpatialGems,ACM SIGSPATIAL International Workshop on Spatial Gems,,,,,,,,,
SPIRE,International Symposium on String Processing and Information Retrieval,,nan,,Recommended,CE-BD,,nan,,spire
SPLASH,"ACM SIGPLAN Conference on Systems, Programming, Languages, and Applications: Software for Humanity",,,,,,,,,
SPLC,International Software Product Line Conference,,nan,,Recommended,CE-ES,,nan,d7uBCzQUspcJ,splc
SPM,"International Conference on Signal, Image Processing and Multimedia",,,,,,,,,
SpringSim,Spring Simulation Conference,,,,,,,,,
SRDS,IEEE Symposium on Reliable Distributed Systems,,Symposium on Reliable Distributed Systems|nan,,Recommended,CE-RESD|CE-SEG|CE-TF,,nan,jMvtRj_Yg6wJ.2018 (https://scholar.google.es/scholar?hl=pt-BR,srds
SSBSE,International Symposium on Search Based Software Engineering,,nan,,Recommended,CE-ES,,nan,,ssbse
SSCC,International Symposium on Security in Computing and Communications,,nan,,Recommended,CE-SEG,,nan,pGU5_1oxcy0J.2023 (https://scholar.google.com/scholar?hl=pt-BR,sscc
SSCI,IEEE Symposium Series on Computational Intelligence,,nan,,Recommended,CE-IC,,nan,c3DqEnruQwEJ,ssci
SSDBM,International Conference on Scientific and Statistical Database Management,,nan,,Recommended,CE-BD|CE-Geoinformatica,,nan,w_KC2fvJJQEJ,ssdbm
SSIAI,Southwest Symposium on Image Analysis and Interpretation,,,,,,,,,
SSPR,International Workshop on Structural and Syntactic Pattern Recognition,,,,,,,,,
SSRR,"International Symposium on Safety, Security and Rescue Robotics",,nan,,Top20,CE-R,,nan,in-bLtIuMBYJ,
SSTD,International Symposium on Spatial and Temporal Databases,,nan,,Recommended,CE-BD|CE-Geoinformatica,,nan,,ssd
STACS,Symposium on Theoretical Aspects of Computer Science,,nan,,CE-ACO Top10 2024,CE-ACO,,nan,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=BmGC50v8VqkJ.2024,https://dblp.org/db/conf/stacs/index.html
STIL,Brazilian Symposium in Information and Human Language Technology,,Simpósio Brasileiro de Tecnologia da Informação e da Linguagem Humana|nan,,Recommended,CE-BD|CE-PLN,,https://sol.sbc.org.br/index.php/stil/issue/archive,,stil
STOC,ACM Symposium on Theory of Computing,,nan,ACM,CE-ACO Top10 2024,CE-ACO,,nan,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=t-147h7Cn5cJ.2024,https://dblp.org/db/conf/stoc/index.html
SUGARLOAFPLOP,Latin American Conference on Pattern Languages of Programs,,,,,,,,,
SUI,Symposium on Spatial User Interaction,,nan,,Recommended,CE-IHC|CE-RV,,nan,pUIVy52VbeEJ,sui
SUM,International Conference on Scalable Uncertainty Management,,,,,,,,,
SustainIT,Conference on Sustainable Internet and ICT for Sustainability,,nan,,Recommended,CE-IHC,,nan,,ifip6-3
SVR,Symposium on Virtual and Augmented Reality,,SBC Symposium on Virtual and Augmented Reality|nan,,Recommended,CE-IHC|CE-RV,,nan,Y15SCgN8Um8J,https://dblp.org/db/conf/svr/index.html
SWAT,Scandinavian Workshop on Algorithm Theory,,nan,,Recommended,CE-ACO,,nan,IyEy51GZdIUJ,swat
SWQD,Conference Software Quality Days,,nan,,Recommended,CE-ES,,nan,,swqd
SYSCON,IEEE International Systems Conference,,,,,,,,,
SYSTOL,Conference on Control and Fault-Tolerant Systems,,nan,,Top20,CE-TF,,nan,y8-AwXJ0Me0J,systol
TABLEAUX,International Conference on Automated Reasoning with Analytic Tableaux and Related Methods,,nan,,Top10,CE-L,,nan,,tableaux
TAC,Text Analysis Conference,,nan,,Top20,CE-PLN,,nan,,tac
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems,,nan,,Top10,CE-MF,,nan,_zC9HnSttFIJ,
TAPAS,Workshop on Tools for Automatic Program Analysis,,,,,,,,,
TAROS,Conference Towards Autonomous Robotics Systems,,Towards Autonomous Robotics Systems|nan,,Recommended,CE-R,,nan,3_Q6Rsb1TloJ,
TASE,Theoretical Aspects of Software Engineering,,nan,,Top20,CE-MF,,nan,WZLpmXhRGDcJ,
TCC,Theory of Cryptography,,nan,,Top20,CE-SEG,,nan,JP81m6yJpiEJ,tcc
TechDebt,International Conference on Technical Debt,,nan,,Top20,CE-ES,,nan,,icse
TEEM,Technological Ecosystems for Enhancing Multiculturality,,,,,,,,,
TEI,"International Conference on Tangible, Embedded and Embodied Interaction",,"ACM International Conference on Tangible, Embedded and Embodied Interactions|International Conference on Tangible, Embedded, and Embodied Interaction|nan",,Top20,CE-IHC|CE-RV|CE-SC,,nan,KRPnqF5qBUgJ,tei
TextGraphs,Workshop on Graph-based Methods for Natural Language Processing,,,,,,,,,
TIMBRE,Interdisciplinary Workshop on Timbre,,nan,,Recommended,CE-CM,,nan,,
TISE,Congreso Internacional de Informática Educativa,,nan,,Recommended,CE-IE,,nan,,
TPDL,International Conference on Theory and Practice of Digital Libraries,,,,,,,,,
TREC,Text Retrieval Conference,,nan,,Recommended,CE-PLN,,nan,NVceRfB9aaoJ,trec
TRUST,International Workshop on Trust in Agent societies,,,,,,,,,
TRUSTCOM,"International Conference on Trust, Security and Privacy in Computing and Communications",,,,,,,,,
TSD,"International Conference on Text, Speech and Dialogue",,"International Conference on Text, Speech and Dialog|nan",,Top20,CE-PLN,,nan,wfD8vcltKiQJ,tsd
TVX,ACM International Conference on Interactive Experiences for TV and Online Video,,nan,,Recommended,CE-IHC,,nan,,tvx
UAI,Conference on Uncertainty in Artificial Intelligence,,nan,,Top10,CE-IA|CE-IC,,nan,xLfkTVI4LkMJ,uai
UBICOMM-IARIA,"IARIA International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies",,,,,,,,,
UbiComp,ACM International Joint Conference on Pervasive and Ubiquitous Computing,,ACM Conference on Pervasive and Ubiquitous Computing|nan,,Recommended,CE-IA|CE-RESD|CE-RV,,nan,K6EHRjh8bWIJ,huc
UBIMUS,Workshop de Música Ubíqua,,nan,,Recommended,CE-CM,,nan,,
UCAMI,International Conference on Ubiquitous Computing and Ambient Intelligence,,,,,,,,,
UCC,IEEE/ACM International Conference on Utility and Cloud Computing,,nan,,Recommended,CE-ACPAD|CE-BD|CE-RESD,,nan,gCzn4TRHFGQJ,ucc
UIC,IEEE International Conference on Ubiquitous Intelligence and Computing,,,,,,,,,
UIST,ACM User Interface Software Technology Symposium,,ACM Symposium on User Interface Software and Technology|nan,,Top10,CE-IHC|CE-RV,,nan,vl9z3BzoXrgJ,uist
UKSIM,International Conference on Computer Modelling and Simulation,,,,,,,,,
UMAP,"International Conference on User Modeling, Adaptation and Personalization",,"International Conference on User Modeling (UM)|International Conference on User Modeling, Adaptation and Personalization (UMAP)|User Modeling, Adaptation and Personalization Conference|User Modeling, Adaptation, and Personalization|nan",,Recommended,CE-IE|CE-IHC|CE-RV|CE-SI|CE-WEBMEDIA,,nan,jtXTIwcBWV8J,um
UNET,International Symposium on Ubiquitous Networking,,,,,,,,,
UNIF,International Workshop on Unification,,,,,,,,,
UR,International Conference on Ubiquitous Robots and Ambient Intelligence,,nan,,Recommended,CE-R,,nan,cTek1BiAOX4J,
USENIX Security,USENIX Security Symposium,,nan,,Top10,CE-RESD|CE-SEG,,nan,HSHJIaLyN9IJ,uss
USIHC,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Computador,,nan,,Recommended,CE-IHC|CE-RV,,nan,,
UTP,International Symposium on Unifying Theories of Programming,,,,,,,,,
VALUETOOLS,EAI International Conference on Performance Evaluation Methodologies and Tools,,,,,,,,,
VAMOS,International Workshop on Variability Modelling of Software-intensive Systems,,,,,,,,,
VarDial,"Workshop on NLP for Similar Languages, Varieties and Dialects",,,,,,,,,
VAST,IEEE Conference on Visual Analytics Science and Technology,,IEEE Visual Analytics Science and Technology|nan,,Recommended,CE-RV,,nan,,ieeevast
VCIP,IEEE International Conference on Visual Communications and Image Processing,,,,,,,,,
VECIMS/CIVEMSA,IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems,,nan,,Recommended,CE-IHC,,nan,SE0J8GWI_bcJ,vecims
VECPAR,International Meeting on High Performance Computing for Computational Science,,,,,,,,,
VEE,International Conference on Virtual Execution Environments,,nan,,Top20,CE-LP,,nan,,vee
VEM,"Workshop on Software Visualization, Evolution and Maintenance",,nan,,Top20,CE-ES,,nan,,vem
Videojogos,Conference on Videogame Sciences and Arts,,International Conference on Videogame Sciences and Arts|nan,,Recommended,CE-JOGOS,,nan,,
VISAPP,International Conference on Computer Vision Theory and Applications,,nan,,Recommended,CE-CAS|CE-GRAPI|CE-RV,,nan,ljGmmUmHfUwJ,visapp
VISIGRAPP,"Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications",,,,,,,,,
VISSOFT,IEEE Working Conference on Software Visualization,,nan,,Recommended,CE-ES|CE-IHC,,nan,,vissoft
VLDB,International Conference on Very Large Data Bases,,nan,,Top10,CE-BD,,nan,,
VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,,nan,,Recommended,CE-ES,,nan,PDH_h8gpFWsJ,vl
VLSI,International Conference on Very Large Scale Integration,,,,,,,,,
VLSI-DAT,"International Symposium on VLSI Design, Automation and Test",,nan,,Recommended,CE-CCI,,nan,SOMKtO20fWEJ,vlsi-dat
VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip,,nan,,Recommended,CE-ACPAD|CE-CCI|CE-ESC,,nan,0lu0mPyqVXAJ,vlsi
VLSID,International Conference on VLSI Design,,nan,,Recommended,CE-CCI,,nan,ouDl0FhpZQ8J,vlsid
VMV,"Vision, Modeling & Visualization",,"International Symposium on Vision, Modeling and Visualization|nan",,Recommended,CE-RV,,nan,,vmv
VNC,IEEE Vehicular Networking Conference,,nan,,Recommended,CE-RESD,,nan,Uiuel-P8PcAJ,vnc
VOILA,Visualization and Interaction for Ontologies and Linked Data,,,,,,,,,
VR,IEEE Virtual Reality Conference,,IEEE Conference on Virtual Reality and 3D User Interfaces,,Top10,CE-RV,,nan,muc8DCDEiWcJ,vr
VRCAI,International Conference on Virtual Reality Continuum and its Applications,,nan,,Top10,CE-RV,,nan,_ClHVElQWS8J,vrcai
VRST,ACM Symposium on Virtual Reality Software and Technology,,ACM Virtual Reality Software and Technology|nan,,Recommended,CE-GRAPI|CE-IHC|CE-RV,,nan,QFdzrecfz8sJ,vrst
VS-Games,International Conference on Virtual Worlds and Games for Serious Applications,,Foi incorporada pela IEEE CoG H5 31,,Top20,CE-JOGOS,,nan,GW3dXd7lzJ8J,vsgames
VSMM,International Conference on Virtual Systems and MultiMedia,,,,,,,,,
VTC,Vehicular Technology Conference,,IEEE Vehicular Technology Conference|nan,,Recommended,CE-GRAPI|CE-RESD,,nan,Y0aL1yWCdxkJ,vtc
VTS,IEEE VLSI Test Symposium,,VLSI Test Symposium|nan,,Recommended,CE-CCI,,nan,JTdOipGTjv4J,vts
W2GIS,International Symposium Web and Wireless Geographical Information Systems,,,,,,,,,
W4A,Conference on Web Accessibility,,International Cross-Disciplinary Conference on Web Accessibility|nan,,Recommended,CE-IHC,,nan,TXeN4Nn46qQJ,w4a
WABI,Workshop on Algorithms in Bioinformatics,,nan,,Top10,CE-BioComp,,nan,HnP0m-BVIUMJ,
WAC,Web Audio Conference,,nan,,Top20,CE-CM,,nan,,
WACV,Workshop on Applications of Computer Vision,,Winter Conference on Applications of Computer Vision|nan,,Recommended,CE-GRAPI|CE-RV,,nan,uo-zCIky-iEJ,wacv
WADS,Algorithms and Data Structures Symposium,,nan,,Top20,CE-ACO,,nan,WuJ205lBDckJ,wads
WAFR,Workshop on the Algorithmic Foundations of Robotics,,,,,,,,,
WAIHCWS,Workshop sobre Aspectos da Interação Humano-Computador para a Web Social,,nan,,Recommended,CE-IHC,,https://sol.sbc.org.br/index.php/waihcws/issue/archive,,
WALCOM,International Workshop on Algorithms and Computation,,nan,,Recommended,CE-ACO,,nan,Qm-_RD142XUJ,walcom
WAlgProg,"Workshop de Ensino em Pensamento Computacional, Algoritmos e Programação",,,,,,,,,
WAOA,Workshop on Approximation and Online Algorithms,,nan,,Recommended,CE-ACO,,nan,,waoa
WASHES,"Workshop sobre Aspectos Sociais, Humanos e Econômicos de Software",,nan,,Recommended,CE-ES|CE-IHC|CE-SC|CE-SI,,https://sol.sbc.org.br/index.php/washes/issue/archive,,
WASPAA,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,,nan,,Top10,CE-CM,,nan,,
WASSA,"Workshop on Computational Approaches to Subjectivity, Sentiment and Social Media Analysis",,,,,,,,,
WAVE,Workshop on Advanced Virtual Environments and Education,,,,,,,,,
WBL,Workshop Brasileiro de Lógica,,nan,,Recommended,CE-L,,nan,,
WBMA,Workshop Brasileiro de Métodos Ágeis,,nan,,Recommended,CE-ES,,nan,,wbma
WCAMA,Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais,,nan,,Recommended,CE-SI,,https://sol.sbc.org.br/index.php/wcama/issue/archive,,
WCAS,Workshop on Circuits and Systems Design,,Workshop on Circuits and System Design|nan,,Recommended,CE-CCI,,nan,,
WCBIE,Workshops do Congresso Brasileiro de Informática na Educação,,,,,,,,,
WCCE,IFIP World Conference on Computers in Education,,nan,,Recommended,CE-IE,,nan,,wcce
WCCI,IEEE World Congress on Computational Intelligence,,,,,,,,,
WCGE,Workshop de Computação Aplicada ao Governo Eletrônico,,Workshop de Computação Aplicada em Governo Eletrônico|nan,,Recommended,CE-SI,,https://sol.sbc.org.br/index.php/wcge/issue/archive,,
WCGO,World Congress on Global Optimization,,,,,,,,,
WCISC,Workshop on Computational Intelligence and Smart Cities,,,,,,,,,
WCN,Workshop on Cloud Networks,,,,,,,,,
WCNC,IEEE Wireless Communications and Networking Conference,,nan,,Recommended,CE-ESC|CE-RESD,,nan,,wcnc
WCNCW,IEEE Wireless Communications and Networking Conference Workshops,,nan,,Recommended,CE-RESD,,nan,fw0ZUVavHdsJ,wcncw
WCNPS,Workshop on Communication Networks and Power Systems,,,,,,,,,
WCX,SAE World Congress Experience,,,,,,,,,
WD,Wireless Days Conference,,nan,,Recommended,CE-RESD,,nan,AFnewPQslXYJ,wd
WDES,"Workshop on Distributed Software Development, Software Ecosystems and Systems-of-Systems",,nan,,Recommended,CE-ES,,nan,,sessos
WEB3D,International Conference on 3D Web Technology,,,,,,,,,
Web4All,International Web for All Conference,,nan,,Top20,CE-WEBMEDIA,,nan,,
WEBDB,International Workshop on the Web and Databases,,,,,,,,,
WEBIST,International Conference on Web Information Systems and Technologies,,nan,,Recommended,CE-BD|CE-IHC|CE-SI,,nan,0oQi0-PzQ8sJ,webist
WEBMEDIA,Brazilian Symposium on Multimedia and the Web,,SBC Simpósio Brasileiro de Sistemas Multimídia e Web|nan,,Recommended,CE-IHC,,https://sol.sbc.org.br/index.php/webmedia,EL-07Zfxn_kJ,webmedia
WEBSCI,ACM Web Science Conference,,ACM Web Science Conference|Web Science Conference,,Recommended,CE-SI,,nan,bjjY0KRB7JIJ,websci
WEI,Workshop sobre Educação em Computação,,nan,,Top10,CE-EDUCOMP,,https://sol.sbc.org.br/index.php/wei,-eLSF6KffKgJ,
WER,Workshop on Requirements Engineering,,Workshop de Engenharia de Requisitos|Workshp de Engenharia de Requisitos,,Top20,CE-ES,,nan,OEzTeItQGVAJ,wer
WESB,Workshop de Engenharia de Software Baseada em Busca,,,,,,,,,
WETICE,IEEE International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises,,nan,,Recommended,CE-ACPAD|CE-SC,,nan,kYDZP1q0-MAJ,wetice
WF-IoT,IEEE World Forum on Internet of Things,,World Forum on Internet of Things|nan,,Top20,CE-ESC|CE-RESD,,nan,gSjQo1cwB88J,wf-iot
WFCS,IEEE World Conference on Factory Communication Systems,,nan,,Recommended,CE-ESC,,nan,UpYWQKAQb9IJ,wfcs
WG,International Workshop on Graph-Theoretic Concepts in Computer Science,,nan,,CE-ACO Top10 2024,CE-ACO,,nan,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=bEdEBGLFMMoJ.2024,https://dblp.org/db/conf/wg/index.html
WGRS,Workshop de Gerência e Operação de Redes e Serviços,,,,,,,,,
WHISPERS,Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing,,Workshop on Hyperspectral Imaging and Signal Processing: Evolution in Remote Sensing|nan,,Recommended,CE-GRAPI,,nan,b0D8OCdsIgcJ,whispers
WI-IAT,IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,,,,,,,,,
WICSA,Working IEEE/IFIP Conference on Software Architecture,,IEEE International Conference on Software Architecture Companion,,Recommended,CE-ES,,nan,7pDaek0315EJ,icsa
WIE,Workshop de Informática na Escola,,nan,,Recommended,CE-IE|CE-IHC,,https://sol.sbc.org.br/index.php/wie/issue/archive,oRft04FzXroJ,
WIFS,IEEE Workshop on Information Forensics and Security,,IEEE International Workshop on Information Forensics and Security|nan,,Recommended,CE-GRAPI|CE-SEG,,nan,mvVvdS_cvHIJ,wifs
WIM,Workshop de Informática Médica,,,,,,,,,
WIMOB,"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",,,,,,,,,
WiOpt,"International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks",,nan,,Recommended,CE-RESD,,nan,wMDBJK-Wc7wJ,wiopt
WiPSCE,Workshop in Primary and Secondary Computing Education,,,,,,,,,
WISDOM,Workshop on Issues of Sentiment Discovery and Opinion Mining,,,,,,,,,
WISE,International Conference on Web Information Systems Engineering,,Web Information Systems Engineering|nan,,Top20,CE-BD|CE-SI|CE-WEBMEDIA,,nan,K9DmX5xQU-YJ,wise
WiSec,ACM Conference on Security & Privacy in Wireless and Mobile Networks,,,,,,,,,
WISTP,International Conference on Information Security Theory and Practice,,,,,,,,,
WIT,Women in Information Technology,,,,,,,,,
WOCN,International Conference on Wireless and Optical Communications Networks,,,,,,,,,
WOLLIC,"International Workshop on Logic, Language, Information and Computation",,,,,,,,,
WOMoCoE,"International Workshop on Ontology Modularity, Contextuality, and Evolution",,,,,,,,,
WONS,Wireless On-demand Network systems and Services Conference,,nan,,Recommended,CE-RESD,,nan,,wons
WORKS,Workshop on Workflows in Support of Large-Scale Science,,,,,,,,,
WOSP,International Workshop on Mining Scientific Publications,,,,,,,,,
WOWMOM,"International Symposium on a World of Wireless, Mobile and Multimedia Networks",,,,,,,,,
WPEIF,Workshop de Pesquisa Experimental da Internet do Futuro,,,,,,,,,
WPerformance,Workshop em Desempenho de Sistemas Computacionais e de Comunicação,,,,,,,,,
WPES,Annual ACM workshop on Privacy in the electronic society,,nan,,Recommended,CE-SEG,,nan,pUbmTvcLFnQJ.2023 (https://scholar.google.com/scholar?hl=pt-BR,wpes
WRLA,International Workshop on Rewriting Logic and its Applications,,,,,,,,,
WSC,Winter Simulation Conference,,,,,,,,,
WSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho,,nan,,Recommended,CE-ACPAD|CE-RV|CE-TF,,https://sol.sbc.org.br/index.php/sscad,MZeKedZe-5YJ,
