comp_id,sigla,nome,siglas_alt,nomes_alt,sociedade,avaliacao,origem,ieee_id,sol_id,gs_id,dblp_id
CompID900001,<Programming>,"International Conference on the Art, Science, and Engineering of Programming",,,,,Qualis 2017-2020,,,,
CompID900002,3DOR,Eurographics Workshop on 3D Object Retrieval,,,,,Qualis 2017-2020,,,,
CompID900003,3DUI,IEEE Symposium on 3D User Interfaces,VR,IEEE Conference on Virtual Reality and 3D User Interfaces (IEEE VR),IEEE,,Qualis 2017-2020,,,,
CompID900004,3DV,International Conference on 3D Vision,,,,,Qualis 2017-2020,,,,
CompID900005,3ICT,"International Conference on Innovation and Intelligence for Informatics, Computing, and Technologies",,,,,Qualis 2017-2020,,,,
CompID900006,5GWF,IEEE 5G World Forum,,,,,Qualis 2017-2020,,,,
CompID900007,A-TEST,"International Workshop on Automating Test Case Design, Selection and Evaluation",,,,,Qualis 2017-2020,,,,
CompID900008,AAAI,AAAI Conference on Artificial Intelligence,,,,,Qualis 2017-2020,,,,
CompID900009,AAMAS,International Conference on Autonomous Agents and Multiagent Systems,,,,,Qualis 2017-2020,,,,
CompID900010,ABZ,"International ABZ Conference ASM, Alloy, B, TLA, VDM, Z",,,,,Qualis 2017-2020,,,,
CompID900011,AC-IADIS,IADIS International Conference on Applied Computing,,,,,Qualis 2017-2020,,,,
CompID900012,ACC,American Control Conference,,,,,Qualis 2017-2020,,,,
CompID900013,ACCV,Asian Conference on Computer Vision,,,,,Qualis 2017-2020,,,,
CompID900014,ACE,International Conference on Advances in Computer Entertainment Technology,,,,,Qualis 2017-2020,,,,
CompID900015,ACHI-IARIA,IARIA International Conference on Advances in Computer-Human Interactions,,,,,Qualis 2017-2020,,,,
CompID900016,ACII,International Conference on Affective Computing and Intelligent Interaction,,,,,Qualis 2017-2020,,,,
CompID900017,ACIRS,Asia-Pacific Conference on Intelligent Robot Systems,,,,,Qualis 2017-2020,,,,
CompID900018,ACISP,Australasian Conference on Information Security and Privacy,,,,,Qualis 2017-2020,,,,
CompID900019,ACIVS,Advanced Concepts for Intelligent Vision Systems,,,,,Qualis 2017-2020,,,,
CompID900020,ACL,Annual Meeting of the Association for Computational Linguistics,,,,,Qualis 2017-2020,,,,
CompID900021,ACM CC,Creativity & Cognition,,,,,Qualis 2017-2020,,,,
CompID900022,ACM CHI PLAY,Annual Symposium on Computer-Human Interaction in Play,,,,,Qualis 2017-2020,,,,
CompID900023,ACM IMX,ACM International Conference on Interactive Media Experiences,,,,,Qualis 2017-2020,,,,
CompID900024,ACMIDC,ACM Internacional Conference on Interaction Design and Children,,,,,Qualis 2017-2020,,,,
CompID900025,ACMMM,ACM International Conference on Multimedia,,,,,Qualis 2017-2020,,,,
CompID900026,ACMSOCC,ACM Symposium on Cloud Computing,,,,,Qualis 2017-2020,,,,
CompID900027,ACNS,Applied Cryptography and Network Security,,,,,Qualis 2017-2020,,,,
CompID900028,ACRA,Australasian Conference on Robotics and Automation,,,,,Qualis 2017-2020,,,,
CompID900029,ACSAC,Computer Security Applications Conference,,,,,Qualis 2017-2020,,,,
CompID900030,ADBIS,East European Conference on Advances in Databases and Information Systems,,,,,Qualis 2017-2020,,,,
CompID900031,ADHOC-NOW,International Conference on Ad-Hoc Networks and Wireless,,,,,Qualis 2017-2020,,,,
CompID900032,ADMS,International Workshop on Accelerating Analytics and Data Management Systems Using Modern Processor and Storage Architectures,,,,,Qualis 2017-2020,,,,
CompID900033,ADVANCE,International Workshop on Advances in ICT Infrastructures and Services,,,,,Qualis 2017-2020,,,,
CompID900034,AES,International Convention of the Audio Engineering Society,,,,,Qualis 2017-2020,,,,
CompID900035,AES-ICSA,AES International Conference on Semantic Audio,,,,,Qualis 2017-2020,,,,
CompID900036,AFRICACRYPT,International Conference on Cryptology in Africa,,,,,Qualis 2017-2020,,,,
CompID900037,AGILEGIS,Conference on Geographic Information Science,,,,,Qualis 2017-2020,,,,
CompID900038,AH,Augmented Human International Conference,,,,,Qualis 2017-2020,,,,
CompID900039,AHS,NASA/ESA Conference on Adaptive Hardware and Systems,,,,,Qualis 2017-2020,,,,
CompID900040,AI,Canadian Conference on Artificial Intelligence,,,,,Qualis 2017-2020,,,,
CompID900041,AIC,International Workshop on Artificial Intelligence and Cognition,,,,,Qualis 2017-2020,,,,
CompID900042,AICCSA,ACS/IEEE International Conference on Computer Systems and Applications,,,,,Qualis 2017-2020,,,,
CompID900043,AICT,International Conference on Application of Information and Communication Technologies,,,,,Qualis 2017-2020,,,,
CompID900044,AICT-IARIA,IARIA Advanced International Conference on Telecommunications,,,,,Qualis 2017-2020,,,,
CompID900045,AIED,International Conference on Artificial Intelligence in Education,,,,,Qualis 2017-2020,,,,
CompID900046,AIES,"AAAI/ACM Conference on AI, Ethics, and Society",,,,,Qualis 2017-2020,,,,
CompID900047,AIIDE,AAAI Conference on Artificial Intelligence and Interactive Digital Entertainment,,,,,Qualis 2017-2020,,,,
CompID900048,AIM,IEEE/ASME International Conference on Advanced Intelligent Mechatronics,,,,,Qualis 2017-2020,,,,
CompID900049,AIME,Conference on Artificial Intelligence in Medicine,,,,,Qualis 2017-2020,,,,
CompID900050,AIML,Advances in Modal Logic,,,,,Qualis 2017-2020,,,,
CompID900051,AIMS,"International Conference on Autonomous Infrastructure, Management and Security",,,,,Qualis 2017-2020,,,,
CompID900052,AINA,IEEE International Conference on Advanced Information Networking and Applications,,,,,Qualis 2017-2020,,,,
CompID900053,AINAW,IEEE International Conference on Advanced Information Networking and Applications Workshops,,,,,Qualis 2017-2020,,,,
CompID900054,AIPR,Applied Imagery Pattern Recognition Workshop,,,,,Qualis 2017-2020,,,,
CompID900055,AISTATS,International Conference on Artificial Intelligence and Statistics,,,,,Qualis 2017-2020,,,,
CompID900056,AITest,IEEE International Conference On Artificial Intelligence Testing,,,,,Qualis 2017-2020,,,,
CompID900057,AITM,Conference on Advanced Information Technologies for Management,,,,,Qualis 2017-2020,,,,
CompID900058,AlCoB,International Conference on Algorithms for Computational Biology,,,,,Qualis 2017-2020,,,,
CompID900059,ALENEX,SIAM Symposium on Algorithm Engineering and Experiments,,,,,Qualis 2017-2020,,,,
CompID900060,ALIO/EURO,Joint ALIO/EURO International Conference on Applied Combinatorial Optimization,,,,,Qualis 2017-2020,,,,
CompID900061,ALLERTON,"Allerton Conference on Communication, Control, and Computing",,,,,Qualis 2017-2020,,,,
CompID900062,AMCIS,Americas Conference on Information Systems,,,,,Qualis 2017-2020,,,,
CompID900063,AMD,Workshop on Analysis of Movement Data,,,,,Qualis 2017-2020,,,,
CompID900064,AMIA,Annual Symposium of the American Medical Informatics Association,,,,,Qualis 2017-2020,,,,
CompID900065,AMW,Alberto Mendelzon International Workshop on Foundations of Data Management,,,,,Qualis 2017-2020,,,,
CompID900066,ANCS,ACM/IEEE Symposium on Architectures for Networking and Communications Systems,,,,,Qualis 2017-2020,,,,
CompID900067,ANPPOM,Congresso da Associação Nacional de Pesquisa e Pós-Graduação em Música,,,,,Qualis 2017-2020,,,,
CompID900068,ANSS,Annual Simulation Symposium,,,,,Qualis 2017-2020,,,,
CompID900069,ANT,"International Conference on Ambient Systems, Networks and Technologies",,,,,Qualis 2017-2020,,,,
CompID900070,ANTS,IEEE International Conference on Advanced Networks and Telecommuncations Systems,,,,,Qualis 2017-2020,,,,
CompID900071,APCCAS,IEEE Asia Pacific Conference on Circuits and Systems,,,,,Qualis 2017-2020,,,,
CompID900072,APKC,ACM on ASIA Public-Key Cryptography Workshop,,,,,Qualis 2017-2020,,,,
CompID900073,APLAS,Asian Symposium on Programming Languages and Systems,,,,,Qualis 2017-2020,,,,
CompID900074,APNOMS,Asia-Pacific Network Operations and Management Symposium,,,,,Qualis 2017-2020,,,,
CompID900075,APPROX-RANDOM,International Conference on Approximation Algorithms for Combinatorial Optimization Problems,,,,,Qualis 2017-2020,,,,
CompID900076,APWEB,Asia-Pacific Web Conference,,,,,Qualis 2017-2020,,,,
CompID900077,ARC,International Symposium on Applied Reconfigurable Computing,,,,,Qualis 2017-2020,,,,
CompID900078,ARCS,International Conference on Architecture of Computing Systems,,,,,Qualis 2017-2020,,,,
CompID900079,ARES,"International Conference on Availability, Reliability and Security",,,,,Qualis 2017-2020,,,,
CompID900080,ARIC,International Workshop on Intelligent and Resilient Cities,,,,,Qualis 2017-2020,,,,
CompID900081,ARM,Workshop on Adaptive and Reflective Middleware,,,,,Qualis 2017-2020,,,,
CompID900082,ARSO,IEEE Workshop on Advanced Robotics and its Social Impacts,,,,,Qualis 2017-2020,,,,
CompID900083,ASAP,"IEEE International Conference on Application-specific Systems, Architectures and Processors",,,,,Qualis 2017-2020,,,,
CompID900084,ASE,IEEE/ACM International Conference on Automated Software Engineering,,,,,Qualis 2017-2020,,,,
CompID900085,ASIACCS,"ACM ASIA Symposium on Information, Computer and Communications Security",,,,,Qualis 2017-2020,,,,
CompID900086,ASIACRYPT,Annual International Conference on the Theory and Applications of Cryptology and Information Security,,,,,Qualis 2017-2020,,,,
