Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
ADVANCE,2025.0,International Workshop on Advances in ICT Infrastructures and Services,,,,,,Qualis 2017-2020,,,,
AES,2025.0,International Convention of the Audio Engineering Society,AES,International Convention of the Audio Engineering Society,,Top20,CE-CM-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AES-ICSA,2025.0,AES International Conference on Semantic Audio,AES-ICSA,AES International Conference on Semantic Audio,,Top20,CE-CM-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AFRICACRYPT,2025.0,International Conference on Cryptology in Africa,,,,,,Qualis 2017-2020,,,,
AGILEGIS,2025.0,Conference on Geographic Information Science,,,,,,Qualis 2017-2020,,,,
AH,2025.0,Augmented Human International Conference,AH,Augmented Human International Conference,,Top10,CE-IHC-2024.ce.csv|CE-RV-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AHS,2025.0,NASA/ESA Conference on Adaptive Hardware and Systems,,,,,,Qualis 2017-2020,,,,
AI,2025.0,Canadian Conference on Artificial Intelligence,,,,,,Qualis 2017-2020,,,,
AIC,2025.0,International Workshop on Artificial Intelligence and Cognition,,,,,,Qualis 2017-2020,,,,
AICCSA,2025.0,ACS/IEEE International Conference on Computer Systems and Applications,,,,,,Qualis 2017-2020,,,,
AICT,2025.0,International Conference on Application of Information and Communication Technologies,AICT,International Conference on Application of Information and Communication Technologies,,Recommended,CE-SI-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AICT-IARIA,2025.0,IARIA Advanced International Conference on Telecommunications,,,,,,Qualis 2017-2020,,,,
AIED,2025.0,International Conference on Artificial Intelligence in Education,AIED,Artificial Intelligence in Education|Artificial Intelligence in Education Conference|International Conference on Artificial Intelligence in Education,,Top10,CE-IA-2024.ce.csv|CE-IE-2024.ce.csv|CE-IHC-2024.ce.csv,Qualis 2017-2020|SBC CE-2024,,,,
AIES,2025.0,"AAAI/ACM Conference on AI, Ethics, and Society",,,,,,Qualis 2017-2020,,,,
