Sigla,Ano Dados,Nome do evento,Siglas Alternativas,Nomes Alternativos,Sociedade,Avaliação SBC,SBC-CE,Origem Cadastro,Anais,SOL ID,GS ID,DBLP ID
DIGRA,2025,Digital Games Research Association International Conference,,DiGRA International Conference,,Top20,CE-JOGOS,Qualis 2017-2020|SBC CE-2024,,,3NcCD_2kgFYJ,digra
DILS,2025,International Conference on Data Integration in Life Sciences,,,,,,Qualis 2017-2020,,,,
DIMVA,2025,"International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",,,,,,Qualis 2017-2020,,,,
DIS,2025,Conference on Designing Interactive Systems,,ACM Designing Interactive Systems|nan,,Top10,CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,NL3siS1OXxYJ,ACMdis
DISC,2025,International Symposium on Distributed Computing,,International Symposium on DIStributed Computing|nan,,Top10,CE-RESD|CE-TF,Qualis 2017-2020|SBC CE-2024,,,I09_2V3FJhwJ,disc
DIVANET,2025,ACM Symposium on Development and Analysis of Intelligent Vehicular Networks and Applications,,,,,,Qualis 2017-2020,,,,
DL,2025,International Workshop on Description Logics,,,,,,Qualis 2017-2020,,,,
DLS,2025,Dynamic Languages Symposium,,nan,,Recommended,CE-LP,Qualis 2017-2020|SBC CE-2024,,,,dls
DMA,2025,International Conference on Data Mining and Applications,,,,,,Qualis 2017-2020,,,,
DMSVIVA,2025,International DMS Conference on Visualization and Visual Languages,,,,,,Qualis 2017-2020,,,,
DOCENG,2025,ACM Symposium on Document Engineering,,ACM SIGWEB International Symposium on Document Engineering|nan,,Recommended,CE-BD|CE-IHC,Qualis 2017-2020|SBC CE-2024,,,C6AfMlHpHa0J,doceng
DOLAP,2025,International Workshop On Data Warehousing and OLAP,,nan,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,dolap
DPM,2025,International Workshop on Data Privacy Management,,nan,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,
DRCN,2025,International Conference on the Design of Reliable Communication Networks,,nan,,Recommended,CE-ESC|CE-RESD,Qualis 2017-2020|SBC CE-2024,,,9giM3hX1gGgJ,drcn
DS,2025,International Conference on Discovery Science,,,,,,Qualis 2017-2020,,,,
DS-RT,2025,IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications,,nan,,Recommended,CE-ESC,Qualis 2017-2020|SBC CE-2024,,,JO6ZL899IMAJ,dsrt
DSAA,2025,IEEE International Conference on Data Science and Advanced Analytics,,nan,,Recommended,CE-BD|CE-SI,Qualis 2017-2020|SBC CE-2024,,,ZHdJbJwh40EJ,dsaa
DSAI,2025,International Conference on Software Development for Enhancing Accessibility and Fighting Info-exclusion,,nan,,Recommended,CE-IHC,Qualis 2017-2020|SBC CE-2024,,,,dsai
DSC,2025,IEEE Conference on Dependable and Secure Computing,,,,,,Qualis 2017-2020,,,,
DSD,2025,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools",,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools, DSD|nan",,Top20,CE-ACPAD|CE-CCI|CE-ESC,Qualis 2017-2020|SBC CE-2024,,,42wcJhr2yF0J,dsd
DSN,2025,Annual IEEE/IFIP International Conference on Dependable Systems and Networks,,IEEE/IFIP International Conference on Dependable Systems and Networks|nan,,Top10,CE-ESC|CE-RESD|CE-TF,Qualis 2017-2020|SBC CE-2024,,,MVYbyyKMpToJ,dsn
DSNW,2025,IEEE International Conference on Dependable Systems and Networks Workshops,,nan,,Recommended,CE-TF,Qualis 2017-2020|SBC CE-2024,,,,dsn
DSP,2025,International Conference on Digital Signal Processing,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,aJnwgzbfDTUJ,icdsp
DTIS,2025,Design & Technology of Integrated Systems in Nanoscale Era,,,,,,Qualis 2017-2020,,,,
DySPAN,2025,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,0y6OyqiGt8MJ,dyspan
EACL,2025,Conference of the European Chapter of the Association for Computational Linguistics,,nan,,Top10,CE-IA|CE-PLN,Qualis 2017-2020|SBC CE-2024,,,JnFTLT-D1FUJ,eacl
EASE,2025,International Conference on Evaluation and Assessment in Software Engineering,,nan,,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,jk7nbKX2c8EJ,ease
EATIS,2025,Euro American Conference on Telematics and Information Systems,,nan,,Top20,CE-SI,Qualis 2017-2020|SBC CE-2024,,,as1viggupKQJ,eatis
EC,2025,ACM conference on Economics and Computation,,nan,,Recommended,CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,dpWPf1oNwIgJ,sigecom
EC-TEL,2025,European Conference on Technology Enhanced Learning,,nan,,Top10,CE-IE,Qualis 2017-2020|SBC CE-2024,,,_1QDFIU09Q8J,ectel
ECAI,2025,European Conference on Artificial Intelligence,,nan,,Top20,CE-IA|CE-IC,Qualis 2017-2020|SBC CE-2024,,,ryLBm7fgHNMJ,ecai
ECASE,2025,IEEE/ACM International Workshop on Establishing the Community-Wide Infrastructure for Architecture-Based Software Engineering,,,,,,Qualis 2017-2020,,,,
ECC,2025,European Control Conference,,nan,,Recommended,CE-R,Qualis 2017-2020|SBC CE-2024,,,uyMX5yvvkyoJ,
ECCTD,2025,European Conference on Circuit Theory and Design,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,,ecctd
ECCV,2025,European Conference on Computer Vision,,nan,,Recommended,CE-GRAPI|CE-RV,Qualis 2017-2020|SBC CE-2024,,,cwIh2C-xo8kJ,eccv
ECIR,2025,European Conference on Information Retrieval,,nan,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,ecir
ECIS,2025,European Conference on Information Systems,,nan,,Top10,CE-BD|CE-SI,Qualis 2017-2020|SBC CE-2024,,,dF8xpB0_PnwJ,ecis
ECML,2025,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,,European Conference on Machine Learning and Knowledge Discovery in Databases|nan,,Top10,CE-BD|CE-IC,Qualis 2017-2020|SBC CE-2024,,,B_DfwWWmEnMJ,ecml
ECMR,2025,European Conference on Mobile Robots,,,,,,Qualis 2017-2020,,,,
ECMS,2025,European Conference on Modelling and Simulation,,,,,,Qualis 2017-2020,,,,
ECOOP,2025,European Conference on Object-Oriented Programming,,European Conference on Object-oriented Programming (ECOOP)|nan,,Top10,CE-ES|CE-LP,Qualis 2017-2020|SBC CE-2024,,,QHz4g2YxOYgJ,ecoop
ECRTS,2025,Euromicro Conference on Real-Time Systems,,nan,,Top10,CE-ESC,Qualis 2017-2020|SBC CE-2024,,,TjHsSEvIdkIJ,ecrts
ECSA,2025,European Conference on Software Architecture,,nan,,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,hbCKVuECYrEJ,ecsa
ECSCW,2025,European Conference on Computer Supported Cooperative Work,,ECSCW - European Conference on Computer Supported Cooperative Work (https://dblp.org/db/conf/ecscw/index.html)|nan,,Top10,CE-SC,Qualis 2017-2020|SBC CE-2024,,,,
ECSQARU,2025,European Conference on Symbolic and Quantitative Approaches to Reasoning and Uncertainty,,nan,,Recommended,CE-IA,Qualis 2017-2020|SBC CE-2024,,,NPzpQ2AW63QJ,ecsqaru
EDBT,2025,International Conference on Extending Database Technology,,nan,,Top10,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,edbt
EDCC,2025,European Dependable Computing Conference,,nan,,Top20,CE-TF,Qualis 2017-2020|SBC CE-2024,,,YcdY4WsTx_sJ,edcc
EDGE,2025,International Conference on Edge Computing,,,,,,Qualis 2017-2020,,,,
EDM,2025,International Conference on Educational Data Mining,,nan,,Top10,CE-IE,Qualis 2017-2020|SBC CE-2024,,,omHmP0TWqbUJ,edm
EDOC,2025,IEEE International Enterprise Distributed Object Computing Conference,,"Enterprise Design, Operations and Computing|International IEEE Enterprise Distributed Object Computing Conference",,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,HYNXXKncPYAJ,edoc
EDUCOMP,2025,Simpósio Brasileiro de Educação em Computação,,nan,,Top10,CE-EDUCOMP|CE-IE,Qualis 2017-2020|SBC CE-2024,,educomp,9d69RZLoOs8J,
EDUCON,2025,IEEE Global Engineering Education Conference,,IEEE Education Engineering|nan,,Top10,CE-EDUCOMP|CE-IE,Qualis 2017-2020|SBC CE-2024,,,oWx0DwbR58MJ,educon
EECS,2025,European Conference on Electrical Engineering and Computer Science,,,,,,Qualis 2017-2020,,,,
EEEWC,2025,"International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government",,,,,,Qualis 2017-2020,,,,
EGOV,2025,International Conference on Electronic Government,,IFIP WG 8.5 International Conference on Electronic Government|nan,,Top10,CE-IHC|CE-SI,Qualis 2017-2020|SBC CE-2024,,,UF-KqO2gwjoJ,egov
EGOV-CEDEM-EPART,2025,International Conference on Electronic Government/International Conference for E-Democracy and Open Government,,,,,,Qualis 2017-2020,,,,
EGOVIS,2025,International Conference on Electronic Government and the Information Systems Perspective,,Electronic Government and the Information Systems Perspective|nan,,Recommended,CE-IHC|CE-SI,Qualis 2017-2020|SBC CE-2024,,,,egovis
EICS,2025,ACM SIGCHI Symposium on Engineering Interactive Computing Systems,,Engineering Interactive Computing Systems|nan,,Top20,CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,8ZzKUGSn8EwJ,eics
EIT,2025,International Conference on Electro Information Technology,,,,,,Qualis 2017-2020,,,,
EJC,2025,International Conference on Information Modeling and Knowledge,,nan,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,ejc
EM-GIS,2025,International Workshop on the Use of GIS in Emergency Management,,nan,,Recommended,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,
EMAS,2025,International Workshop on Engineering Multiagent Systems,,,,,,Qualis 2017-2020,,,,
EMBC,2025,Annual International Conference of the IEEE Engineering in Medicine and Biology Society,,"International Conference of the IEEE Engineering in Medicine and Biology Society|International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC|nan",,Top10,CE-CAS|CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,la0gAKbHmIkJ,embc
EMBS,2025,IEEE-EMBS International Conference on Biomedical and Health Informatics,,IEEE EMBS International Conference on Biomedical and Health Informatics|nan,,Top10,CE-CAS,Qualis 2017-2020|SBC CE-2024,,,BgO65-j_oeEJ,bhi
EMNLP,2025,Conference on Empirical Methods in Natural Language Processing,,nan,,Top10,CE-BD|CE-PLN|CE-SI,Qualis 2017-2020|SBC CE-2024,,,LqrQjvOguiMJ,emnlp
EMO,2025,International Conference on Evolutionary Multi-Criterion Optimization,,,,,,Qualis 2017-2020,,,,
EMSOFT,2025,ACM International Conference on Embedded Software,,,,,,Qualis 2017-2020,,,,
ENANPAD,2025,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração,,Encontro Nacional da Associação Nacional de Pós-Graduação e Pesquisa em Administração|Encontro da Associação Nacional de Pós-Graduação e Pesquisa em Administração,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,,
ENASE,2025,International Conference on Evaluation of Novel Approaches to Software Engineering,,Evaluation of Novel Approaches to Software Engineering|Evaluation of Novel Approaches to Software Engineering (ENASE),,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,Q2z8twK6gqAJ,enase
ENCP,2025,ACM CoNEXT Workshop on Emerging in-Network Computing Paradigms,,,,,,Qualis 2017-2020,,,,
ENIAC,2025,Encontro Nacional de Inteligencia Artificial e Computacional,,Encontro Nacional de Inteligência Artificial e Computacional|nan,,Top10,CE-IA|CE-IC,Qualis 2017-2020|SBC CE-2024,,eniac,DoEKONL9f1YJ,
EPIA,2025,Portuguese Conference on Artificial Intelligence,,nan,,Recommended,CE-GRAPI|CE-IC,Qualis 2017-2020|SBC CE-2024,,,SDrbTPLn2T0J,epia
ER,2025,International Conference on Conceptual Modeling,,nan,,Top10,CE-BD|CE-ES|CE-Geoinformatica|CE-SI,Qualis 2017-2020|SBC CE-2024,,,wB6WaEpFlvgJ,er
Ergodesign,2025,Congresso Internacional de Ergonomia e Usabilidade de Interfaces Humano Tecnológica,,,,,,Qualis 2017-2020,,,,
ESA,2025,European Symposium on Algorithms,,nan,,Top10,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,sNtxnFuOq5YJ,esa
ESANN,2025,"European Symposium on Artificial Neural Networks, Computational Intelligence and Machine Learning",,European Symposium on Artificial Neural Networks|nan,,Recommended,CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,G2W6LcMuSNwJ,esann
ESCIENCE,2025,IEEE International Conference on e-Science,,IEEE eScience International Conference|nan,,Top10,CE-BD|CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,6RxgACAtCdcJ,eScience
ESELAW,2025,Workshop Latinoamericano de Ingeniería de Software Experimental,,,,,,Qualis 2017-2020,,,,
ESEM,2025,ACM/IEEE International Symposium on Empirical Software Engineering and Measurement,,"International Symposium on Empirical Software Engineering and Measurement, ESEM",,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,TWG2GULnchAJ,esem
ESOCC,2025,European Conference on Service-Oriented and Cloud Computing,,,,,,Qualis 2017-2020,,,,
ESOP,2025,European Symposium on Programming,,nan,,Top10,CE-L|CE-LP,Qualis 2017-2020|SBC CE-2024,,,UtpXAOWmk9EJ,esop
ESORICS,2025,European Symposium on Research in Computer Security,,,,,,Qualis 2017-2020,,,,
ESSCIRC,2025,European Solid State Circuits Conference,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,rIvU5DZe6gMJ,esscirc
ESSDERC,2025,European Solid State Device Research Conference,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,u1sD_y1HdVYJ,essderc
ESWC,2025,Extended Semantic Web Conference,,European Semantic Web Conference|nan,,Recommended,CE-BD|CE-IA,Qualis 2017-2020|SBC CE-2024,,,AETH84_wOIQJ,esws
ESWS,2025,European Semantic Web Conference,,Extended Semantic Web Conference|nan,,Top20,CE-WEBMEDIA,Qualis 2017-2020|SBC CE-2024,,,mf0MeYwvqwoJ,esws
ETC,2025,Encontro de Teoria da Computação,,nan,,Recommended,CE-ACO,Qualis 2017-2020|SBC CE-2024,,etc,S-FAvH1rAgcJ,
ETFA,2025,IEEE International Conference on Emerging Technologies and Factory Automation,,IEEE Conference on Emerging Technologies & Factory Automation (ETFA)|nan,,Top20,CE-ESC|CE-R,Qualis 2017-2020|SBC CE-2024,,,oGDa9y0RKw8J,etfa
ETRA,2025,ACM Symposium on Eye Tracking Research & Applications,,,,,,Qualis 2017-2020,,,,
ETS,2025,IEEE European Test Symposium,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,t9W1EjUjQrMJ,ets
EUC,2025,IEEE/IFIP International Conferences on Embedded and Ubiquitous Computing,,nan,,Recommended,CE-ESC,Qualis 2017-2020|SBC CE-2024,,,,euc
EuCNC,2025,European Conference on Networks and Communications,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,NcKP0_ggixQJ,eucnc
EUMAS,2025,European Conference on Multi-Agent Systems,,,,,,Qualis 2017-2020,,,,
EURO,2025,European Conference on Operational Research,,,,,,Qualis 2017-2020,,,,
EUROCOMB,2025,"European Conference on Combinatorics, Graph Theory and Applications",,nan,,Top20,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,wn0aYglh-KMJ,
EUROCRYPT,2025,International Conference on Theory and Applications of Cryptographic Techniques,,nan,,Top10,CE-SEG,Qualis 2017-2020|SBC CE-2024,,,fsZsNTm7Eh8J,eurocrypt
EUROGRAPHICS,2025,European Association for Computer Graphics,,,,,,Qualis 2017-2020,,,,
EUROHAPTICS,2025,Eurohaptics,,EuroHaptics|nan,,Top20,CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,G77T8N63lDIJ,eurohaptics
EuroMPI,2025,European MPI Users Group Meeting,,nan,,Recommended,CE-ACPAD,Qualis 2017-2020|SBC CE-2024,,,eVYF6giBmnoJ,pvm
EUROPAR,2025,European Conference on Parallel Computing,,nan,,Top20,CE-ACPAD|CE-RESD,Qualis 2017-2020|SBC CE-2024,,,tOMY2Y_aVTMJ,europar
EuroPloP,2025,European Conference on Pattern Languages of Programs,,nan,,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,G6KgE6kxOP8J,europlop
EuroSPI,2025,European Conference on Software Process Improvement,,Conference on European System & Software Process Improvement and Innovation (EuroSPI),,Recommended,CE-ES,Qualis 2017-2020|SBC CE-2024,,,NIvUXCf10OgJ,eurospi
EUROSYS,2025,European Conference on Computer Systems,,ACM European Conference on Computer Systems|nan,,Top10,CE-ESC|CE-RESD|CE-TF,Qualis 2017-2020|SBC CE-2024,,,8LhhnAnPYO8J,eurosys
EuroVis,2025,EG/VGTC Conference on Visualization,,nan,,Top10,CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,,vissym
EUSFLAT,2025,Conference of the European Society for Fuzzy Logic and Technology,,,,,,Qualis 2017-2020,,,,
EUSIPCO,2025,European Signal Processing Conference,,nan,,Recommended,CE-GRAPI,Qualis 2017-2020|SBC CE-2024,,,oJ-ZYoNCyCQJ,eusipco
EVOAPPLICATIONS,2025,European Conference on the Applications of Evolutionary Computation,,,,,,Qualis 2017-2020,,,,
EVOCOP,2025,European Conference on Evolutionary Computation in Combinatorial Optimization,,,,,,Qualis 2017-2020,,,,
EWC,2025,Embedded Word Conference,,,,,,Qualis 2017-2020,,,,
EWSDN,2025,European Workshop on Software Defined Networks,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,,ewsdn
EWSN,2025,European Conference on Wireless Sensor Networks,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,sTp_oa_iyPIJ,ewsn
EXP.AT,2025,Experiment@ International Conference,,,,,,Qualis 2017-2020,,,,
FACS,2025,International Conference on Formal Aspects of Component Software,,nan,,Top20,CE-MF,Qualis 2017-2020|SBC CE-2024,,,1wsH4YLiPpcJ,
FASE,2025,International Conference on Fundamental Approaches to Software Engineering,,Fundamental Approaches to Software Engineering|nan,,Top10,CE-ES|CE-MF,Qualis 2017-2020|SBC CE-2024,,,KaKG4ZSdHz4J,fase
FAST,2025,USENIX Conference on File and Storage Technologies,,Conference on File and Storage Technologies (FAST),,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,fast
FC,2025,International Conference on Financial Cryptography and Data Security,,nan,,Top10,CE-SEG,Qualis 2017-2020|SBC CE-2024,,,gVeDacK3aQwJ,fc
FCCM,2025,IEEE Annual International Symposium on Field-Programmable Custom Computing Machines,,IEEE Annual Symposium on Field-Programmable Custom Computing Machines|IEEE International Symposium on Field-Programmable Custom Computing Machines|IEEE Symposium on Field-Programmable Custom Computing Machines|nan,,Top20,CE-CCI|CE-ESC,Qualis 2017-2020|SBC CE-2024,,,uLGTNGzfRS0J,fccm
FCT,2025,International Symposium on Fundamentals of Computation Theory,,nan,,Recommended,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,,fct
FCTA,2025,International Conference on Fuzzy Computation Theory and Applications,,,,,,Qualis 2017-2020,,,,
FDG,2025,Foundations of Digital Games,,International Conference on the Foundations of Digital Games|nan,,Top10,CE-JOGOS,Qualis 2017-2020|SBC CE-2024,,,,fdg
FDL,2025,Forum on Specification and Design Languages,,nan,,Recommended,CE-CCI|CE-LP,Qualis 2017-2020|SBC CE-2024,,,,fdl
FECS,2025,International Conference on Frontiers in Education: Computer Science and Computer Engineering,,,,,,Qualis 2017-2020,,,,
FEDCSIS,2025,Federated Conference on Computer Science and Information Systems,,nan,,Recommended,CE-SI,Qualis 2017-2020|SBC CE-2024,,,PHUeOJr2y-EJ,fedcsis
FGR,2025,IEEE International Conference on Automatic Face and Gesture Recognition,,,,,,Qualis 2017-2020,,,,
FiCloud,2025,International Conference on Future Internet of Things and Cloud,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,qesER2iEwMYJ,ficloud
FIE,2025,IEEE Frontiers in Education Conference,,Frontiers in Education Conference|nan,,Top10,CE-EDUCOMP|CE-IE,Qualis 2017-2020|SBC CE-2024,,,G1RhimMOm2wJ,fie
FIT,2025,International Conference on Forntiers of Information Technology,,,,,,Qualis 2017-2020,,,,
FLAIRS,2025,International Florida Artificial Intelligence Conference,,,,,,Qualis 2017-2020,,,,
FLOPS,2025,International Symposium on Functional and Logic Programming,,nan,,Top20,CE-L,Qualis 2017-2020|SBC CE-2024,,,,flops
FM,2025,International Symposium on Formal Methods,,Formal Methods|nan,,Top10,CE-MF,Qualis 2017-2020|SBC CE-2024,,,mvAUTVUvOS0J,
FMCAD,2025,International Conference on Formal Methods in Computer-Aided Design,,nan,,Top10,CE-MF,Qualis 2017-2020|SBC CE-2024,,,s5Z0Q8BPlvwJ,
FOCS,2025,IEEE Annual Symposium on Foundations of Computer Science,,nan,IEEE,Top10,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,QUcbc1kDDcEJ,focs
FOIS,2025,International Conference on Formal Ontology in Information Systems,,Formal Ontology in Information Systems,,Recommended,CE-BD,Qualis 2017-2020|SBC CE-2024,,,,fois
FormaliSE,2025,International Conference on Formal Methods in Software Engineering,,,,,,Qualis 2017-2020,,,,
FOSD,2025,International Workshop on Feature-Oriented Software Development,,,,,,Qualis 2017-2020,,,,
FoSSaCS,2025,International Conference on Foundations of Software Science and Computation Structures,,nan,,Top10,CE-L,Qualis 2017-2020|SBC CE-2024,,,q-MXMv7GdwAJ,fossacs
FPGA,2025,Symposium on Field Programmable Gate Arrays,,ACM/SIGDA International Symposium on Field Programmable Gate Arrays|ACM/SIGDA International Symposium on Field-Programmable Gate Arrays|nan,,Top10,CE-ACPAD|CE-CCI|CE-ESC,Qualis 2017-2020|SBC CE-2024,,,X39h_ye2QL4J,fpga
FPL,2025,International Conference on Field-Programmable Logic and Applications,,International Conference on Field Programmable Logic and Applications|nan,,Top10,CE-ACPAD|CE-CCI|CE-ESC,Qualis 2017-2020|SBC CE-2024,,,7JfwVbgjkZUJ,fpl
FPT,2025,IEEE International Conference on Field-Programmable Technology,,International Conference on Field-Programmable Technology|nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,WIezXfeOQkEJ,fpt
FROCOS,2025,International Symposium on Frontiers of Combining Systems,,International Symposium on Frontiers of Combining System|nan,,Top20,CE-L,Qualis 2017-2020|SBC CE-2024,,,,frocos
FSCD,2025,International Conference on Formal Structures for Computation and Deduction,,nan,,Top10,CE-L,Qualis 2017-2020|SBC CE-2024,,,,fscd
FSE,2025,Fast Software Encryption,,nan,,Recommended,CE-SEG,Qualis 2017-2020|SBC CE-2024,,,u0EMblNmhEoJ,fse
FSE/ESEC,2025,Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering,,ACM SIGSOFT International Symposium on Foundations of Software Engineering,,Top10,CE-ES,Qualis 2017-2020|SBC CE-2024,,,CwfZO4J4a4UJ,esec
FSEN,2025,International Conference on Fundamentals of Software Engineering,,,,,,Qualis 2017-2020,,,,
FSR,2025,Conference on Field and Service Robotics,,,,,,Qualis 2017-2020,,,,
FTC,2025,Future Technologies Conference,,,,,,Qualis 2017-2020,,,,
FUN,2025,International Conference on Fun with Algorithms,,nan,,Recommended,CE-ACO,Qualis 2017-2020|SBC CE-2024,,,,fun
FUSION,2025,International Conference on Information Fusion,,nan,,Recommended,CE-R,Qualis 2017-2020|SBC CE-2024,,,eAoE06EVARcJ,
FUZZ,2025,IEEE International Conference on Fuzzy Systems,,IEEE International Conference on Fuzzy Systems (FUZZ)|nan,,Top10,CE-IA|CE-IC,Qualis 2017-2020|SBC CE-2024,,,sateOX2Ni50J,fuzzIEEE
GameSec,2025,Conference on Decision and Game Theory for Security,,,,,,Qualis 2017-2020,,,,
GAS,2025,International Workshop on Games and Software Engineering,,nan,,Top20,CE-JOGOS,Qualis 2017-2020|SBC CE-2024,,,,icse-gas
GbRPR,2025,International Workshop on Graph-Based Representations in Pattern Recognition,,,,,,Qualis 2017-2020,,,,
GECCO,2025,Genetic and Evolutionary Computation Conference,,Conference on Genetic and Evolutionary Computation|nan,,Top10,CE-GRAPI|CE-IA|CE-IC,Qualis 2017-2020|SBC CE-2024,,,pQVER_ii7sMJ,gecco
GECON,2025,"International Conference on Economics of Grids, Clouds, Systems and Services",,,,,,Qualis 2017-2020,,,,
GEFI,2025,Global Experimentation for Future Internet,,,,,,Qualis 2017-2020,,,,
GEM,2025,"IEEE Games, Entertainment, Media Conference",,nan,,Top20,CE-JOGOS,Qualis 2017-2020|SBC CE-2024,,,,gamesem
GeoAI,2025,International Workshop on AI for Geographic Knowledge Discovery,,nan,,Recommended,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,geoai
GEOBIA,2025,Geographic Object-based Image Analysis,,Geographic Object-based Image Analysis (GEOBIA)|nan,,Top20,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,
GEOINFO,2025,Brazilian Symposium on GeoInformatics,,Brazilian Symposium on Geoinformatics|Simpósio Brasileiro de Geoinformática|nan,,Top10,CE-BD|CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,geoinfo
GeoPROCESSING-IARIA,2025,"IARIA International Conference on Advanced Geographic Information Systems, Applications, and Services",,,,,,Qualis 2017-2020,,,,
GeoSim,2025,International Workshop on Geospatial Simulation,,nan,,Recommended,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,geosim
GI,2025,Graphics Interface Conference,,Graphics Interface|nan,,Top20,CE-GRAPI|CE-IHC|CE-RV,Qualis 2017-2020|SBC CE-2024,,,,graphicsinterface
GIIS,2025,Global Information Infrastructure and Networking Symposium,,,,,,Qualis 2017-2020,,,,
GIR,2025,Workshop on Geographic Information Retrieval,,nan,,Top20,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,gir
GIScience,2025,International Conference on Geographic Information Science,,nan,,Top10,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,_va3nqyJpWMJ,giscience
GLOBALSIP,2025,Global Conference on Signal and Information Processing,,,,,,Qualis 2017-2020,,,,
GLOBECOM,2025,IEEE Global Communications Conference,,nan,,Top10,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,pZS97tVVUCgJ,globecom
GLSVLSI,2025,Great Lakes Symposium on VLSI,,nan,,Recommended,CE-CCI,Qualis 2017-2020|SBC CE-2024,,,pmoNNwZxCvUJ,glvlsi
GPC,2025,International Conference on Grid And Pervasive Computing,,,,,,Qualis 2017-2020,,,,
GPCE,2025,ACM International Conference on Generative Programming: Concepts and Experiences,,Generative Programming: Concepts and Experiences|nan,,Top20,CE-ES|CE-LP,Qualis 2017-2020|SBC CE-2024,,,,gpce
GRAPP,2025,International Conference on Computer Graphics Theory and Applications,,nan,,Top20,CE-GRAPI|CE-RV,Qualis 2017-2020|SBC CE-2024,,,ulaSNA5ZgjEJ,grapp
GreenCom,2025,IEEE International Conference on Green Computing and Communications,,nan,,Recommended,CE-RESD,Qualis 2017-2020|SBC CE-2024,,,,greencom
GROUP,2025,International Conference on Supporting Group Work,,GROUP - International Conference on Supporting Group Work|nan,,Top10,CE-SC,Qualis 2017-2020|SBC CE-2024,,,,
GVIZ,2025,Workshop on New Directions in Geovisual Analytics,,nan,,Recommended,CE-Geoinformatica,Qualis 2017-2020|SBC CE-2024,,,,
GWN,2025,International Global Wordnet Conference,,,,,,Qualis 2017-2020,,,,
HAIS,2025,International Conference on Hybrid Artificial Intelligence Systems,,,,,,Qualis 2017-2020,,,,
