sigla,titulo,h5
SBBD,Simpósio Brasileiro de Banco de Dados (SBBD),4.0
SBCAS,Simpósio Brasileiro de Computação Aplicada à Saúde (SBCAS),7.0
SBES,Brazilian Symposium on Software Engineering,23.0
SBESC,Brazilian Symposium on Computing Systems Engineering,9.0
SBGAMES,Simpósio Brasileiro de Jogos e Entretenimento Digital (SBGames),10.0
SBIAGRO,Congresso Brasileiro de Agroinformática (SBIAGRO),3.0
SBIE,Simpósio Brasileiro de Informática na Educação (SBIE),15.0
SBMICRO,Symposium on Microelectronics Technology and Devices,4.0
SBPO,Simpósio Brasileiro de Pesquisa Operacional,2.0
SBRC,Simpósio Brasileiro de Redes de Computadores e Sistemas Distribuídos (SBRC),8.0
SBSeg,Simpósio Brasileiro de Segurança da Informação e de Sistemas Computacionais (SBSeg),6.0
SBSI,Simpósio Brasileiro de Sistemas de Informação (SBSI),6.0
SBTI,Simpósio Brasileiro de Tecnologia da Informação e da Linguagem Humana (STIL),8.0
SC,"International Conference for High Performance Computing, Networking, Storage and Analysis",50.0
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,16.0
SDM,SIAM International Conference on Data Mining (SDM),36.0
SDPC,"IEEE International Conference on Sensing, Diagnostics, Prognostics, and Control",9.0
SDS,International Conference on Software Defined Systems,14.0
SEA,International Symposium on Experimental Algorithms,11.0
SEAA,Euromicro Conference on Software Engineering and Advanced Applications,23.0
SEAMS,International Symposium on Software Engineering for Adaptive and Self-Managing Systems,21.0
SEC,IFIP TC 11 International Conference on ICT Systems Security and Privacy Protection,15.0
SECRYPT,International Conference on Security and Cryptography (SECRYPT),13.0
SEGAH,International Conference on Serious Games and Applications for Health (SeGAH),18.0
SEKE,International Conference on Software Engineering and Knowledge Engineering (SEKE),14.0
SEMEVAL,International Workshop on Semantic Evaluation,40.0
SEMISH,Seminário Integrado de Software e Hardware (SEMISH),5.0
SENSORNETS,International Conference on Mobile Ad-hoc and Sensor Networks,19.0
SIBGRAPI,"SIBGRAPI Conference on Graphics, Patterns and Images",22.0
SIGCOMM,ACM SIGCOMM Conference,64.0
SIGDIAL,Annual Meeting of the Special Interest Group on Discourse and Dialogue (SIGDIAL),26.0
SIGDOC,ACM International Conference on Design of Communication,12.0
SIGMOD,ACM SIGMOD International Conference on Management of Data,74.0
SII,IEEE/SICE International Symposium on System Integration,19.0
SIMULTECH,"International Conference on Simulation and Modeling Methodologies, Technologies, and Applications (SIMULTECH)",10.0
SMARTGRIDCOMM,IEEE International Conference on Smart Grid Communications (SmartGridComm),21.0
SMC,"IEEE International Conference on Systems, Man and Cybernetics",36.0
SOCC,IEEE/IFIP International Conference on VLSI and System-on-Chip (VLSI-SoC),14.0
SOCINFO,Multidisciplinary International Social Networks Conference on Social Informatics,6.0
SODA,ACM SIAM Symposium on Discrete Algorithms,50.0
SOFTCOM,"International Conference on Software, Telecommunications and Computer Networks",15.0
SOUPS,Symposium On Usable Privacy and Security,35.0
SPAA,ACM Symposium on Parallelism in Algorithms and Architectures (SPAA),21.0
SPIRE,International Symposium on String Processing and Information Retrieval,12.0
SPLC,International Software Product Line Conference,23.0
SSCI,IEEE Symposium Series on Computational Intelligence,31.0
STACS,Symposium on Theoretical Aspects of Computer Science (STACS),24.0
STOC,ACM Symposium on Theory of Computing,63.0
SUI,ACM Symposium on Spatial User Interaction,18.0
SVR,Symposium on Virtual and Augmented Reality,15.0
SWAT,Scandinavian Workshop on Algorithm Theory (SWAT),11.0
SYSCON,IEEE International Systems Conference (SysCon),19.0
TACAS,International Conference on Tools and Algorithms for the Construction and Analysis of Systems (TACAS),35.0
TASE,International Symposium on Theoretical Aspects of Software Engineering,10.0
TCC,Theory of Cryptography,35.0
TEEM,International Conference on Technological Ecosystems for Enhancing Multiculturality,22.0
TEI,"International Conference on Tangible, Embedded, and Embodied Interaction",31.0
TPDL,International Conference on Theory and Practice of Digital Libraries,13.0
TREC,Text REtrieval Conference (TREC),15.0
TRUSTCOM,"IEEE International Conference on Trust, Security and Privacy in Computing and Communications (TrustCom)",31.0
UAI,Conference on Uncertainty in Artificial Intelligence (UAI),50.0
UIST,ACM Symposium on User Interface Software and Technology,53.0
UMAP,"International Conference on User Modeling, Adaptation and Personalization (UMAP)",33.0
USENIX Security,USENIX Security Symposium,116.0
VarDial,"Workshop on NLP for Similar Languages, Varieties and Dialects",16.0
VLDB,International Conference on Very Large Databases,90.0
VLHCC,IEEE Symposium on Visual Languages and Human-Centric Computing,19.0
VLSI-DAT,"International Symposium on VLSI Design, Automation and Test (VLSI-DAT)",12.0
VLSI-SOC,IEEE/IFIP International Conference on VLSI and System-on-Chip (VLSI-SoC),14.0
VNC,IEEE Vehicular Networking Conference (VNC),18.0
VRST,ACM Symposium on Virtual Reality Software and Technology,27.0
VTC,"IEEE Vehicular Technology Conference, VTC",46.0
W4A,Conference on Web Accessibility,18.0
WALCOM,International Workshop on Algorithms and Computation (WALCOM),11.0
WASPAA,IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,21.0
WCNCW,IEEE Wireless Communications and Networking Conference Workshops (WCNCW),24.0
WCNPS,Workshop on Communication Networks and Power Systems,10.0
WEB3D,International Conference on 3D Web Technology,10.0
WEBIST,International Conference on Web Information Systems and Technologies (WEBIST),11.0
WEBMEDIA,Brazilian Symposium on Multimedia and the Web,12.0
WEBSCI,ACM Web Science Conference,30.0
WEI,Workshop sobre Educação em Computação (WEI),10.0
WHISPERS,Workshop on Hyperspectral Image and Signal Processing: Evolution in Remote Sensing (WHISPERS),13.0
WIE,Workshop de Informática na Escola (WIE),9.0
WIFS,IEEE International Workshop on Information Forensics and Security,20.0
WIMOB,IEEE International Conference on Wireless and Mobile Computing Networking and Communications,16.0
WiOpt,"International Symposium on Modeling and Optimization in Mobile, Ad Hoc, and Wireless Networks and Workshops",17.0
WIT,Women in Information Technology (WIT),13.0
WOWMOM,"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",22.0
WSCAD,Simpósio em Sistemas Computacionais de Alto Desempenho (SSCAD),5.0
WSDM,ACM International Conference on Web Search and Data Mining,86.0
WWW,International World Wide Web Conferences (WWW),120.0
