sigla,titulo,h5
CRV,Canadian Conference on Computer and Robot Vision (CRV),17.0
CRYPTO,International Cryptology Conference (CRYPTO),66.0
CSCL,International Conference on Computer-Supported Collaborative Learning,7.0
CSCN,IEEE Conference on Standards for Communications and Networking,12.0
CSCW,ACM Conference on Computer-Supported Cooperative Work & Social Computing,27.0
CSEDU,International Conference on Computer Supported Education (CSEDU),25.0
CSEE&T,IEEE-CS Conference on Software Engineering Education and Training (CSEE&T),12.0
CSF,IEEE Computer Security Foundations Symposium,22.0
CSL,Conference for Computer Science Logic (CSL),19.0
CSNDSP,International Symposium on Communication Systems Networks and Digital Signal Processing,15.0
CSNet,Cyber Security in Networking Conference,12.0
CVPRW,IEEE/CVF Computer Society Conference on Computer Vision and Pattern Recognition Workshops (CVPRW),117.0
DAC,Asia and South Pacific Design Automation Conference (ASP-DAC),34.0
DASFAA,International Conference on Database Systems for Advanced Applications,23.0
DCC,"Data Compression Conference, DCC",21.0
DCOSS,IEEE International Conference on Distributed Computing in Sensor Systems,22.0
DDECS,IEEE International Symposium on Design and Diagnostics of Electronic Circuits & Systems,12.0
DGO,Annual International Conference on Digital Government Research,24.0
DISC,International Symposium on Distributed Computing (DISC),23.0
DL,International Workshop on Description Logics,17.0
DOCENG,ACM Symposium on Document Engineering,14.0
DS-RT,"IEEE/ACM International Symposium on Distributed Simulation and Real-Time Applications, DR-RT",14.0
DSAA,IEEE International Conference on Data Science and Advanced Analytics (DSAA),27.0
DSC,IEEE Conference on Dependable and Secure Computing,17.0
DSD,"Euromicro Conference on Digital System Design, Architectures, Methods and Tools, DSD",20.0
DySPAN,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,12.0
EACL,Conference of the European Chapter of the Association for Computational Linguistics (EACL),77.0
EASE,International Conference on Evaluation and Assessment in Software Engineering,31.0
EATIS,Euro American Conference on Telematics and Information Systems,6.0
ECAI,European Conference on Artificial Intelligence (ECAI),44.0
ECCV,European Conference on Computer Vision,262.0
ECIR,European Conference on Advances in Information Retrieval,47.0
ECMR,European Conference on Mobile Robots,14.0
ECMS,European Conference on Modelling and Simulation (ECMS),12.0
ECOOP,European Conference on Object-oriented Programming (ECOOP),21.0
ECRTS,Euromicro Conference on Real-Time Systems,20.0
ECSA,European Conference on Software Architecture,21.0
ECSCW,European Conference on Computer-Supported Cooperative Work,12.0
EDBT,International Conference on Extending Database Technology (EDBT),29.0
EDCC,European Dependable Computing Conference,16.0
